# Weather station Melbourne (airport), Australia, METAR=YMML,selection from 31.08.2020 till 31.08.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=YMML&lang=en
#
"Local time in Melbourne (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"31.08.2020 23:30";"8.0";"757.7";"768.9";"87";"Wind blowing from the south-southwest";"2";"";"";"";"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1350 m";"10.0 and more";"6.0";
"31.08.2020 23:00";"8.0";"757.7";"768.9";"87";"Wind blowing from the south";"2";"";"";"";"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1200 m";"10.0 and more";"6.0";
"31.08.2020 22:30";"8.0";"757.7";"768.9";"87";"Wind blowing from the south";"1";"";"";"";"Few clouds (10-30%) 840 m, broken clouds (60-90%) 1260 m";"10.0 and more";"6.0";
"31.08.2020 22:00";"9.0";"757.7";"768.9";"76";"Wind blowing from the south";"3";"";"";"";"Few clouds (10-30%) 750 m, broken clouds (60-90%) 1350 m";"10.0 and more";"5.0";
"31.08.2020 21:30";"9.0";"757.7";"768.9";"82";"Wind blowing from the south";"3";"";"";"";"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1200 m";"10.0 and more";"6.0";
"31.08.2020 21:00";"9.0";"757.7";"768.9";"76";"Wind blowing from the south";"3";"";"";"";"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1200 m";"10.0 and more";"5.0";
"31.08.2020 20:30";"9.0";"757.7";"768.9";"76";"Wind blowing from the south";"3";"";"";"";"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1410 m";"10.0 and more";"5.0";
"31.08.2020 20:00";"9.0";"757.7";"768.9";"76";"Wind blowing from the south";"3";"";"";"";"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1410 m";"10.0 and more";"5.0";
"31.08.2020 19:30";"9.0";"757.7";"768.9";"76";"Wind blowing from the south";"4";"";"";"";"Broken clouds (60-90%) 900 m, broken clouds (60-90%) 1470 m";"10.0 and more";"5.0";
"31.08.2020 19:00";"10.0";"757.0";"768.1";"67";"Wind blowing from the south";"4";"";"";"";"Broken clouds (60-90%) 1050 m, broken clouds (60-90%) 1470 m";"10.0 and more";"4.0";
"31.08.2020 18:30";"10.0";"757.0";"768.1";"71";"Wind blowing from the south";"4";"";"";"";"Broken clouds (60-90%) 1200 m, broken clouds (60-90%) 1410 m";"10.0 and more";"5.0";
"31.08.2020 18:00";"10.0";"757.0";"768.1";"67";"Wind blowing from the south";"4";"";"";"";"Broken clouds (60-90%) 1080 m";"10.0 and more";"4.0";
"31.08.2020 17:30";"10.0";"757.0";"768.1";"71";"Wind blowing from the south-southeast";"5";"";"";"";"Broken clouds (60-90%) 1020 m, broken clouds (60-90%) 1200 m";"10.0 and more";"5.0";
"31.08.2020 17:00";"11.0";"757.0";"768.1";"67";"Wind blowing from the south-southeast";"5";"";"";"";"Broken clouds (60-90%) 960 m, broken clouds (60-90%) 1140 m";"10.0 and more";"5.0";
"31.08.2020 16:30";"11.0";"757.0";"768.1";"58";"Wind blowing from the south-southwest";"6";"";"";"";"Scattered clouds (40-50%) 1110 m, broken clouds (60-90%) 1680 m";"10.0 and more";"3.0";
"31.08.2020 16:00";"11.0";"757.0";"768.1";"54";"Wind blowing from the south-southwest";"5";"";"";"";"Broken clouds (60-90%) 1110 m, broken clouds (60-90%) 1620 m";"10.0 and more";"2.0";
"31.08.2020 15:30";"12.0";"757.0";"768.1";"54";"Wind blowing from the south-southwest";"5";"";"";"";"Few clouds (10-30%) 960 m, broken clouds (60-90%) 1680 m";"10.0 and more";"3.0";
"31.08.2020 15:00";"12.0";"757.0";"768.1";"58";"Wind blowing from the south";"5";"";"";"";"Scattered clouds (40-50%) 870 m, scattered clouds (40-50%) 1020 m";"10.0 and more";"4.0";
"31.08.2020 14:30";"11.0";"757.0";"768.1";"62";"Wind blowing from the south";"7";"";"";"";"Scattered clouds (40-50%) 1020 m, broken clouds (60-90%) 1170 m";"10.0 and more";"4.0";
"31.08.2020 14:00";"10.0";"757.0";"768.1";"71";"Wind blowing from the south";"8";"";"";"";"Broken clouds (60-90%) 1230 m, broken clouds (60-90%) 1470 m";"10.0 and more";"5.0";
