# Weather station Sydney (airport), Australia, METAR=YSSY,selection from 07.12.2020 till 07.12.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=YSSY&lang=en
#
"Local time in Sydney (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"07.12.2020 23:30";"23.0";"753.4";"753.9";"29";"Wind blowing from the west-southwest";"6";"";"";"";"No Significant Clouds";"10.0 and more";"4.0";
"07.12.2020 23:00";"23.0";"753.4";"753.9";"27";"Wind blowing from the west-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"3.0";
"07.12.2020 22:30";"23.0";"753.4";"753.9";"27";"Wind blowing from the west-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"3.0";
"07.12.2020 22:00";"24.0";"753.4";"753.9";"25";"Wind blowing from the west-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"3.0";
"07.12.2020 21:30";"25.0";"752.6";"753.1";"24";"Wind blowing from the west-southwest";"6";"";"";"";"No Significant Clouds";"10.0 and more";"3.0";
"07.12.2020 21:00";"25.0";"752.6";"753.1";"22";"Wind blowing from the west-southwest";"6";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"07.12.2020 20:30";"26.0";"752.6";"753.1";"24";"Wind blowing from the west-southwest";"8";"";"";"";"No Significant Clouds";"10.0 and more";"4.0";
"07.12.2020 20:00";"22.0";"752.6";"753.1";"69";"Wind blowing from the south";"5";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"07.12.2020 19:30";"27.0";"751.8";"752.3";"20";"Wind blowing from the south-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"07.12.2020 19:00";"28.0";"751.1";"751.6";"19";"Wind blowing from the west-southwest";"9";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"07.12.2020 18:30";"29.0";"750.3";"750.8";"18";"Wind blowing from the west";"9";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"07.12.2020 18:00";"29.0";"750.3";"750.8";"18";"Wind blowing from the west";"9";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"07.12.2020 17:30";"30.0";"750.3";"750.8";"15";"Wind blowing from the west-northwest";"10";"";"";"";"No Significant Clouds";"10.0 and more";"1.0";
"07.12.2020 17:00";"31.0";"750.3";"750.8";"15";"Wind blowing from the west-northwest";"9";"14";"";"";"No Significant Clouds";"10.0 and more";"1.0";
"07.12.2020 16:58";"30.0";"750.3";"750.8";"17";"Wind blowing from the west-northwest";"9";"14";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"07.12.2020 16:30";"30.0";"750.3";"750.8";"15";"Wind blowing from the north-west";"9";"";"";"";"No Significant Clouds";"10.0 and more";"1.0";
"07.12.2020 16:02";"30.0";"751.1";"751.6";"15";"Wind blowing from the west";"8";"13";"";"";"No Significant Clouds";"10.0 and more";"1.0";
"07.12.2020 15:40";"31.0";"751.1";"751.6";"13";"Wind blowing from the west";"8";"13";"";"";"No Significant Clouds";"10.0 and more";"0.0";
"07.12.2020 15:30";"31.0";"751.1";"751.6";"16";"Wind blowing from the north-west";"7";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"07.12.2020 15:00";"31.0";"751.1";"751.6";"15";"Wind blowing from the west-northwest";"9";"";"";"";"No Significant Clouds";"10.0 and more";"1.0";
"07.12.2020 14:30";"30.0";"751.1";"751.6";"17";"Wind blowing from the west-southwest";"6";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
