time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1593396680,780a1d,-33.96991277145128,151.1824607849121,90.46318918843949,166.51693997259474,8.77824,CPA3128 ,False,False,False,3624.0,53.34,190.5,1593396679.762,1593396679.762
1593396690,780a1d,-33.977407681739976,151.18446350097656,90.70130636706706,168.88126519061456,8.128,CPA3128 ,False,False,False,3624.0,137.16,274.32,1593396688.91,1593396689.853
1593396700,780a1d,-33.98625260692535,151.18549346923828,91.06240074102092,179.35261761305813,7.477760000000001,CPA3128 ,False,False,False,3624.0,220.98,342.90000000000003,1593396699.99,1593396699.99
1593396710,780a1d,-33.993988037109375,151.1843186981824,94.032145245303,191.6787843280604,5.8521600000000005,CPA3128 ,False,False,False,3624.0,281.94,419.1,1593396709.26,1593396709.822
1593396720,780a1d,-34.00259244239936,151.18183135986328,97.69696550963003,194.32893966766167,5.8521600000000005,CPA3128 ,False,False,False,3624.0,350.52000000000004,480.06000000000006,1593396719.779,1593396719.98
1593396730,780a1d,-34.011204606395665,151.17942810058594,101.61148075135392,192.27709805110803,6.1772800000000005,CPA3128 ,False,False,False,3624.0,403.86,525.78,1593396729.263,1593396729.862
1593396740,780a1d,-34.021087646484375,151.17748026945154,106.75301805206864,186.9195332627057,2.27584,CPA3128 ,False,False,False,3624.0,441.96,579.12,1593396739.94,1593396739.953
1593396750,780a1d,-34.030291023900986,151.17753982543945,112.48927129677554,175.5410044748543,4.8768,CPA3128 ,False,False,False,3624.0,480.06,609.6,1593396749.247,1593396749.866
1593396760,780a1d,-34.041046142578125,151.17989053531568,118.15872713194122,166.1452631461667,3.2512000000000003,CPA3128 ,False,False,False,3624.0,525.78,662.9399999999999,1593396759.738,1593396759.748
1593396770,780a1d,-34.051844710010585,151.18349075317383,125.07656140735254,164.24882633654698,2.60096,CPA3128 ,False,False,False,3624.0,548.64,685.8,1593396769.82,1593396769.902
1593396780,780a1d,-34.062784485897794,151.18709564208984,130.03532512651057,164.86416449625193,5.8521600000000005,CPA3128 ,False,False,False,3624.0,594.36,716.28,1593396779.925,1593396779.925
1593396790,780a1d,-34.07386391849843,151.19064331054688,134.14367749858374,165.11104510127703,13.0048,CPA3128 ,False,False,False,3624.0,685.8000000000001,822.96,1593396789.603,1593396789.603
1593396800,780a1d,-34.085362321239415,151.19436264038086,135.04424467978123,164.5343063764711,13.0048,CPA3128 ,False,False,False,3624.0,822.96,952.5,1593396799.283,1593396799.903
1593396810,780a1d,-34.09746590307202,151.1984825134277,136.4528162781338,164.02493254320396,13.0048,CPA3128 ,False,False,False,3624.0,952.5,1082.04,1593396809.595,1593396810.0
1593396820,780a1d,-34.109161376953125,151.20253582389986,138.07814962171764,163.9959595141184,13.0048,CPA3128 ,False,False,False,3624.0,1089.66,1211.58,1593396819.266,1593396819.846
1593396830,780a1d,-34.12130064883473,151.2066650390625,139.56231420595674,164.17064602550272,13.0048,CPA3128 ,False,False,False,3624.0,1219.2,1333.5000000000002,1593396829.141,1593396829.784
1593396840,780a1d,-34.13433527542372,151.2110710144043,140.55246529981864,164.28505345271938,12.67968,CPA3128 ,False,False,False,3624.0,1348.74,1455.42,1593396839.918,1593396839.918
1593396850,780a1d,-34.14564514160156,151.21419478435905,142.3383903621133,170.63980919808668,9.7536,CPA3128 ,False,False,False,3624.0,1463.04,1577.34,1593396849.17,1593396849.75
1593396860,780a1d,-34.15873718261719,151.21413873166455,149.65369604735463,188.10224830700025,3.5763200000000004,CPA3128 ,False,False,False,3624.0,1516.38,1638.3,1593396859.495,1593396859.898
1593396870,780a1d,-34.172508110434364,151.20792388916016,157.35344300038926,209.5822416459428,5.20192,CPA3128 ,False,False,False,3624.0,1554.48,1684.02,1593396869.762,1593396869.792
1593396880,780a1d,-34.184239274364415,151.19688034057617,163.54546145836588,222.06758996870963,7.477760000000001,CPA3128 ,False,False,False,3624.0,1623.0600000000002,1744.98,1593396879.948,1593396879.948
1593396890,780a1d,-34.19485318458686,151.18526458740234,167.90509616659168,222.14379360319575,7.80288,CPA3128 ,False,False,False,3624.0,1699.26,1821.18,1593396889.526,1593396889.932
1593396900,780a1d,-34.20648193359375,151.17265973772322,172.34181128009578,221.73296175948508,7.152640000000001,CPA3128 ,False,False,False,3624.0,1775.46,1897.38,1593396899.7,1593396899.991
1593396910,780a1d,-34.2181293034958,151.1601448059082,177.38772123905022,222.0613177955333,6.502400000000001,CPA3128 ,False,False,False,3624.0,1844.04,1965.9600000000005,1593396909.76,1593396909.861
1593396920,780a1d,-34.229736328125,151.14737997249682,182.09282962047456,222.25191181994623,5.52704,CPA3128 ,False,False,False,3624.0,1905.0,2026.92,1593396919.437,1593396919.864
1593396930,780a1d,-34.24241638183594,151.13347890425703,187.1798679366948,222.3266523664132,6.827520000000001,CPA3128 ,False,False,False,3624.0,1958.34,2080.26,1593396929.963,1593396929.963
1593396940,780a1d,-34.25514221191406,151.1195217833227,189.74058896097452,222.25278957987743,11.05408,CPA3128 ,False,False,False,3624.0,2049.78,2171.7000000000003,1593396939.768,1593396939.787
1593396950,780a1d,-34.26761433229609,151.10589981079102,191.2299828377472,222.0559536500124,12.67968,CPA3128 ,False,False,False,3624.0,2179.32,2286.0000000000005,1593396949.67,1593396949.96
1593396960,780a1d,-34.280462749933804,151.09193801879883,193.06528842019355,221.9758645499336,10.72896,CPA3128 ,False,False,False,3624.0,2286.0,2407.92,1593396959.538,1593396959.921
1593396970,780a1d,-34.2938232421875,151.0774040222168,194.51834460424016,221.99847567230088,11.70432,CPA3128 ,False,False,False,3624.0,2407.92,2522.2200000000003,1593396969.989,1593396969.989
1593396980,780a1d,-34.30634579416051,151.06378555297852,195.9714306332469,222.0207514848716,12.02944,CPA3128 ,False,False,False,3624.0,2522.2200000000003,2636.52,1593396979.567,1593396979.858
1593396990,780a1d,-34.319613181938564,151.04936599731445,196.6979846329141,222.03176597012828,13.0048,CPA3128 ,False,False,False,3624.0,2644.1400000000003,2766.0600000000004,1593396989.441,1593396989.827
1593397000,780a1d,-34.33268737792969,151.0352185307717,197.0427972735793,222.142876951389,12.35456,CPA3128 ,False,False,False,3624.0,2781.3,2895.6000000000004,1593396999.309,1593396999.914
1593397010,780a1d,-34.34619450973253,151.0205841064453,198.18984310783148,221.84350352963503,10.40384,CPA3128 ,False,False,False,3624.0,2887.98,3017.52,1593397009.766,1593397009.766
1593397020,780a1d,-34.359973972126625,151.00570678710938,200.0261211077434,221.7681511296128,11.05408,CPA3128 ,False,False,False,3624.0,3002.28,3116.5800000000004,1593397019.924,1593397019.924
1593397030,780a1d,-34.37306213378906,150.99160953443877,201.09562659898668,221.8891593465092,11.05408,CPA3128 ,False,False,False,3624.0,3108.96,3230.88,1593397029.794,1593397029.925
1593397040,780a1d,-34.38655529992059,150.97698211669922,202.54856519710145,221.91149601042503,10.07872,CPA3128 ,False,False,False,3624.0,3215.6400000000003,3337.5600000000004,1593397039.675,1593397039.965
1593397050,780a1d,-34.40020751953125,150.96223792251277,203.65810735353276,221.82584666397855,11.3792,CPA3128 ,False,False,False,3624.0,3314.7000000000003,3436.6200000000003,1593397049.546,1593397049.942
1593397060,780a1d,-34.41378835904396,150.94762802124023,204.38452885542824,221.83713970277503,11.3792,CPA3128 ,False,False,False,3624.0,3436.6200000000003,3558.5400000000004,1593397059.703,1593397059.993
