time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1635178360,501e83,45.73654950675318,16.059059143066406,53.15478782439016,47.35329686610831,0.0,CTN82R  ,False,False,False,,15.24,152.4,1635178354.737,1635178356.168
1635178370,501e83,45.742927163334215,16.068809509277344,76.44644763873042,47.18164140355146,0.32512,CTN82R  ,False,False,False,,0.0,160.02,1635178369.867,1635178369.867
1635178380,501e83,45.74775695800781,16.07621355754573,82.61432474328107,46.766270486009056,12.35456,CTN82R  ,False,False,False,,83.82000000000001,220.98,1635178379.48,1635178379.779
1635178390,501e83,45.753021240234375,16.08411835461128,80.41304426322814,46.29606349801712,14.305280000000002,CTN82R  ,False,False,False,,220.98,358.14,1635178389.878,1635178389.965
1635178400,501e83,45.75791931152344,16.091420243426068,78.23101717841844,46.332219853869645,11.70432,CTN82R  ,False,False,False,,365.76,502.9200000000001,1635178399.878,1635178399.878
1635178410,501e83,45.762725830078125,16.098588152629574,79.33120143332054,46.57655005518372,13.65504,CTN82R  ,False,False,False,,480.06,601.98,1635178409.575,1635178409.575
1635178420,501e83,45.76762390136719,16.10595703125,77.85970153416474,46.070824454786965,13.0048,CTN82R  ,False,False,False,,617.22,754.38,1635178419.672,1635178419.809
1635178430,501e83,45.7723388671875,16.113057950647868,77.14944996089498,46.621145913653415,12.02944,CTN82R  ,False,False,False,,739.14,868.6800000000001,1635178429.863,1635178429.966
1635178440,501e83,45.77705383300781,16.12015887004573,77.50368199963013,46.34472438870234,11.3792,CTN82R  ,False,False,False,,853.44,982.98,1635178439.463,1635178439.877
1635178450,501e83,45.78137931177172,16.126693725585938,78.23101717841844,46.332219853869645,11.05408,CTN82R  ,False,False,False,,952.5,1082.04,1635178448.458,1635178449.898
1635178460,501e83,45.78659316240731,16.134521484375,81.14039348571261,46.28444352180078,7.477760000000001,CTN82R  ,False,False,False,,1051.56,1181.1,1635178458.994,1635178459.542
1635178470,501e83,45.7921142578125,16.142868414157775,86.97755689746958,46.67763946615347,6.827520000000001,CTN82R  ,False,False,False,,1127.76,1257.3,1635178469.588,1635178469.669
1635178480,501e83,45.7979736328125,16.151711068502287,92.79548800560312,46.57243042767335,7.80288,CTN82R  ,False,False,False,,1203.96,1325.88,1635178479.991,1635178479.991
1635178490,501e83,45.803957147113344,16.159584045410156,97.69696550963003,38.80116268649432,6.1772800000000005,CTN82R  ,False,False,False,,1272.54,1402.08,1635178489.44,1635178489.58
1635178500,501e83,45.81182447530456,16.16590118408203,106.33197835998442,22.47060199706315,4.22656,CTN82R  ,False,False,False,,1318.26,1447.8,1635178499.107,1635178499.735
1635178510,501e83,45.82255554199219,16.16865948932927,117.91994652065688,2.5004105643768773,4.22656,CTN82R  ,False,False,False,,1363.98,1485.9,1635178509.788,1635178509.788
1635178520,501e83,45.83262634277344,16.165577958269818,127.53750522621844,338.7135948863409,9.10336,CTN82R  ,False,False,False,,1424.94,1546.86,1635178519.043,1635178519.935
1635178530,501e83,45.84273516121557,16.15546417236328,133.61389300378593,317.3404866607368,10.72896,CTN82R  ,False,False,False,,1531.62,1653.5400000000002,1635178529.635,1635178529.917
1635178540,501e83,45.85107421875,16.14213152629573,137.88058950176932,310.7636052009412,11.3792,CTN82R  ,False,False,False,,1645.92,1767.84,1635178539.881,1635178539.881
1635178550,501e83,45.85945129394531,16.12806366711128,144.07463226058877,310.8010080172817,10.72896,CTN82R  ,False,False,False,,1752.6,1874.52,1635178549.995,1635178549.995
1635178560,501e83,45.86805725097656,16.11419677734375,148.28931958263584,311.76559506243296,16.256,CTN82R  ,False,False,False,,1882.14,2011.68,1635178559.822,1635178559.892
1635178570,501e83,45.87709071272511,16.09984588623047,150.08545524560833,311.9434195518505,16.581120000000002,CTN82R  ,False,False,False,,2049.78,2179.32,1635178569.776,1635178569.776
1635178580,501e83,45.88604736328125,16.085592130335368,151.5384724422505,311.97275481772,17.231360000000002,CTN82R  ,False,False,False,,2217.42,2346.96,1635178579.714,1635178579.714
1635178590,501e83,45.8948736675715,16.071487426757812,152.60961967253945,312.13077465970633,17.55648,CTN82R  ,False,False,False,,2385.06,2529.84,1635178589.327,1635178589.443
1635178600,501e83,45.90464963751324,16.05596923828125,153.37421211127167,311.87293535089054,16.90624,CTN82R  ,False,False,False,,2567.94,2712.7200000000003,1635178599.924,1635178599.924
