time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1653899500,7c6d7e,-33.95357293597726,151.18927001953125,79.12409617076972,347.22875743509854,14.630400000000002,JST525  ,False,False,False,,297.18,83.82,1653899499.935,1653899499.935
1653899510,7c6d7e,-33.94688415527344,151.18773791254785,77.50197462562264,354.66784111834045,15.60576,JST525  ,False,False,False,,464.8200000000001,266.70000000000005,1653899509.603,1653899509.933
1653899520,7c6d7e,-33.939746921345375,151.1892127990723,86.23652867968191,19.5158730095827,8.77824,JST525  ,False,False,False,,579.12,373.38,1653899519.595,1653899519.856
1653899530,7c6d7e,-33.93260192871094,151.1956413424745,97.12642774009925,44.78541006887061,6.1772800000000005,JST525  ,False,False,False,,647.7,449.58,1653899529.976,1653899529.976
1653899540,7c6d7e,-33.928062309653114,151.20529174804688,108.62689410388984,67.44275336529435,5.20192,JST525  ,False,False,False,,701.0400000000001,495.30000000000007,1653899539.911,1653899539.911
1653899550,7c6d7e,-33.92610168457031,151.21716557716837,117.35300960073428,82.18958559649928,6.1772800000000005,JST525  ,False,False,False,,762.0,556.26,1653899549.947,1653899549.947
1653899560,7c6d7e,-33.924957275390625,151.2297213807398,124.13460166868704,84.05313694602648,7.152640000000001,JST525  ,False,False,False,,830.58,624.84,1653899559.536,1653899559.83
1653899570,7c6d7e,-33.92376708984375,151.24423902861926,132.3241572664149,84.42239489334247,8.77824,JST525  ,False,False,False,,899.1600000000001,701.0400000000001,1653899569.856,1653899569.882
1653899580,7c6d7e,-33.92253112792969,151.25853246572066,136.52165178792262,84.16050768848254,12.35456,JST525  ,False,False,False,,1013.46,807.72,1653899579.854,1653899579.854
1653899590,7c6d7e,-33.921219130693885,151.27315521240234,140.77729746028024,83.70605181104892,8.45312,JST525  ,False,False,False,,1127.76,929.64,1653899589.652,1653899589.789
1653899600,7c6d7e,-33.91963635460809,151.28952026367188,148.1670168832776,83.22043205485004,7.477760000000001,JST525  ,False,False,False,,1211.5800000000002,998.22,1653899599.975,1653899599.975
1653899610,7c6d7e,-33.91796047404665,151.30599975585938,156.46203435683688,83.20211749971367,6.827520000000001,JST525  ,False,False,False,,1280.16,1066.8,1653899609.98,1653899609.98
1653899620,7c6d7e,-33.916259765625,151.3230491171078,164.7570662072533,83.18564711059025,7.477760000000001,JST525  ,False,False,False,,1348.74,1143.0,1653899619.944,1653899619.997
1653899630,7c6d7e,-33.914469056210294,151.34078979492188,171.58230611093592,82.9389060264139,7.152640000000001,JST525  ,False,False,False,,1417.3200000000002,1211.5800000000002,1653899629.686,1653899629.943
1653899640,7c6d7e,-33.91260696669758,151.35887145996094,178.28286726220665,83.03903697375144,8.128,JST525  ,False,False,False,,1493.52,1280.16,1653899639.218,1653899639.983
1653899650,7c6d7e,-33.91046556375795,151.37981414794922,184.98393346998148,83.13191367560172,8.77824,JST525  ,False,False,False,,1584.96,1371.6,1653899649.976,1653899649.976
