time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1633385480,7c6db0,-33.96800412970077,151.18131637573242,84.25738410711077,174.39383404853342,12.35456,QFA427  ,False,False,False,,274.32,251.46,1633385479.83,1633385479.83
1633385490,7c6db0,-33.97540593551378,151.18080139160156,85.38685660022661,186.22582906442577,11.05408,QFA427  ,False,False,False,,388.62,365.76,1633385489.612,1633385489.667
1633385500,7c6db0,-33.98377990722656,151.17977842992667,89.99094649775388,185.9061411137705,12.02944,QFA427  ,False,False,False,,510.54,495.3,1633385499.996,1633385499.996
1633385510,7c6db0,-33.991790771484375,151.1788255341199,96.13360395527216,185.52754015165615,7.80288,QFA427  ,False,False,False,,601.98,579.12,1633385509.567,1633385509.821
1633385520,7c6db0,-34.00117492675781,151.1777605329241,105.35431299175104,185.04245106917088,4.8768,QFA427  ,False,False,False,,670.5600000000001,647.7,1633385519.838,1633385519.883
1633385530,7c6db0,-34.01133728027344,151.17652737364477,115.84132060858458,185.86250381869448,9.42848,QFA427  ,False,False,False,,746.76,731.52,1633385529.976,1633385529.976
1633385540,7c6db0,-34.02186584472656,151.17607895208866,122.9531922379675,179.76027010391914,12.35456,QFA427  ,False,False,False,,861.0600000000001,830.58,1633385539.817,1633385539.817
1633385550,7c6db0,-34.032806396484375,151.17708790058992,127.7168749389376,174.2205141748441,16.256,QFA427  ,False,False,False,,1013.46,990.6,1633385549.323,1633385549.647
1633385560,7c6db0,-34.04490842657577,151.17982864379883,129.64192942837136,166.46005019802905,18.85696,QFA427  ,False,False,False,,1211.5800000000002,1181.1,1633385559.754,1633385559.754
1633385570,7c6db0,-34.05598785917641,151.18349075317383,132.3561539196393,163.74870321753562,14.630400000000002,QFA427  ,False,False,False,,1363.98,1341.12,1633385569.789,1633385569.838
1633385580,7c6db0,-34.068277649960294,151.18778228759766,136.2461010826665,163.54941581572655,16.256,QFA427  ,False,False,False,,1516.38,1493.5200000000002,1633385579.841,1633385579.841
1633385590,7c6db0,-34.08010191836598,151.19207382202148,138.46955740621857,162.70946800121632,16.256,QFA427  ,False,False,False,,1691.64,1661.16,1633385589.876,1633385589.876
1633385600,7c6db0,-34.09190368652344,151.1967063436703,138.77883765226645,162.30387725148648,21.1328,QFA427  ,False,False,False,,1882.14,1859.28,1633385599.761,1633385599.765
1633385610,7c6db0,-34.10389709472656,151.20091029575894,138.24767237937323,166.22230973873602,17.881600000000002,QFA427  ,False,False,False,,2080.26,2057.4,1633385609.447,1633385609.814
1633385620,7c6db0,-34.11602783203125,151.2015268753986,134.4225535648298,185.71059313749964,15.93088,QFA427  ,False,False,False,,2232.6600000000003,2209.8,1633385619.866,1633385619.866
1633385630,7c6db0,-34.12733459472656,151.19665029097578,130.91765949674488,205.86021774134684,16.90624,QFA427  ,False,False,False,,2392.6800000000003,2362.2000000000003,1633385629.761,1633385629.795
1633385640,7c6db0,-34.13653564453125,151.1888029137436,128.72721183996944,217.6942404666892,19.832320000000003,QFA427  ,False,False,False,,2567.94,2537.46,1633385639.687,1633385639.687
1633385650,7c6db0,-34.145233154296875,151.17899369220345,127.32047297995037,225.3274008908444,18.531840000000003,QFA427  ,False,False,False,,2758.44,2727.96,1633385649.861,1633385649.962
1633385660,7c6db0,-34.15253720041051,151.16907119750977,127.56966516704084,228.59671707762843,16.581120000000002,QFA427  ,False,False,False,,2933.7000000000003,2918.4600000000005,1633385659.517,1633385659.856
1633385670,7c6db0,-34.160430908203125,151.15808603714925,131.21146094447775,230.5683418392672,12.02944,QFA427  ,False,False,False,,3070.86,3048.0,1633385669.9,1633385669.983
1633385680,7c6db0,-34.167388916015625,151.14737997249682,133.93142236823968,231.23708007645843,13.65504,QFA427  ,False,False,False,,3200.4,3177.54,1633385679.243,1633385679.892
1633385690,7c6db0,-34.175628662109375,151.1356089066486,141.62074299495333,229.7147545187049,5.20192,QFA427  ,False,False,False,,3276.6000000000004,3261.3600000000006,1633385689.719,1633385689.999
1633385700,7c6db0,-34.184234619140625,151.12333336654976,150.38140563138518,229.71760250456168,4.8768,QFA427  ,False,False,False,,3329.94,3314.7000000000003,1633385699.61,1633385699.879
1633385710,7c6db0,-34.1934814453125,151.11021703603316,158.4170136394773,229.74178975451903,4.8768,QFA427  ,False,False,False,,3375.6600000000003,3360.4200000000005,1633385709.869,1633385709.979
1633385720,7c6db0,-34.20263671875,151.0971007055166,165.78990547318222,230.03508467945665,4.8768,QFA427  ,False,False,False,,3421.38,3406.1400000000003,1633385719.542,1633385719.918
1633385730,7c6db0,-34.21282234838452,151.08238220214844,172.44236547241215,230.32574062476772,6.502400000000001,QFA427  ,False,False,False,,3474.7200000000003,3459.4800000000005,1633385729.979,1633385729.979
1633385740,7c6db0,-34.222137451171875,151.06879409478637,175.4080538575498,230.4741282006092,13.0048,QFA427  ,False,False,False,,3581.4,3558.54,1633385739.309,1633385739.797
1633385750,7c6db0,-34.23248291015625,151.0536598672672,178.37487963624943,230.61758059012683,12.35456,QFA427  ,False,False,False,,3710.94,3688.08,1633385749.359,1633385749.888
1633385760,7c6db0,-34.24322095967955,151.03792190551758,180.9446620055479,230.6532859156484,13.65504,QFA427  ,False,False,False,,3855.72,3832.86,1633385759.79,1633385759.962
1633385770,7c6db0,-34.253265380859375,151.02322325414542,183.8408659787396,230.56394153145555,11.70432,QFA427  ,False,False,False,,3970.02,3947.16,1633385769.655,1633385769.846
1633385780,7c6db0,-34.263983257746304,151.00753784179688,186.01330432490516,230.49875915218664,13.65504,QFA427  ,False,False,False,,4107.18,4091.940000000001,1633385779.684,1633385779.933
1633385790,7c6db0,-34.27491760253906,150.99155348174426,187.85872029274373,230.55603842312505,13.65504,QFA427  ,False,False,False,3270.0,4244.34,4213.860000000001,1633385789.93,1633385789.93
1633385800,7c6db0,-34.28553694385596,150.9759521484375,190.1021983402061,230.7105931374996,15.280640000000002,QFA427  ,False,False,False,3270.0,4389.12,4373.88,1633385799.495,1633385799.889
1633385810,7c6db0,-34.29666292869439,150.95964431762695,191.1524659575749,230.56955098087175,16.256,QFA427  ,False,False,False,3270.0,4549.14,4518.660000000001,1633385809.74,1633385809.805
1633385820,7c6db0,-34.30797512248415,150.9429931640625,193.3960516986973,230.721316659649,14.630400000000002,QFA427  ,False,False,False,3270.0,4709.16,4671.06,1633385819.969,1633385819.969
1633385830,7c6db0,-34.31922912597656,150.92642025071748,195.96602869734443,230.7529246994412,13.98016,QFA427  ,False,False,False,3270.0,4853.9400000000005,4808.22,1633385829.964,1633385829.978
1633385840,7c6db0,-34.32957458496094,150.9111178651148,198.21120754195312,230.8989277461247,12.02944,QFA427  ,False,False,False,3270.0,4975.860000000001,4945.380000000001,1633385839.248,1633385839.993
