time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1652061980,7c6d9e,-33.95934541346662,151.17937088012695,84.14894975674275,168.00310069207643,12.67968,QFA439  ,False,False,False,,30.48,182.88,1652061979.589,1652061979.869
1652061990,7c6d9e,-33.966700667041835,151.18125915527344,84.65222524609422,168.0754760623881,11.05408,QFA439  ,False,False,False,,144.78,289.56,1652061989.495,1652061989.785
1652062000,7c6d9e,-33.974578857421875,151.18207659040178,84.3829306607923,178.95202335399352,12.02944,QFA439  ,False,False,False,,266.7,411.48,1652061999.864,1652061999.945
1652062010,7c6d9e,-33.98240661621094,151.1818523796237,91.10888931849976,181.94148639091435,10.07872,QFA439  ,False,False,False,,365.76,518.16,1652062009.649,1652062009.79
1652062020,7c6d9e,-33.99095438294495,151.18131637573242,99.4208783183918,182.96604088998717,8.45312,QFA439  ,False,False,False,,457.2000000000001,609.6,1652062019.526,1652062019.634
1652062030,7c6d9e,-34.00073035288665,151.18051528930664,108.30848436966146,184.08561677997488,7.477760000000001,QFA439  ,False,False,False,,541.02,693.42,1652062029.832,1652062029.915
1652062040,7c6d9e,-34.01078563625532,151.1795997619629,116.6325217835506,184.55376797915864,10.40384,QFA439  ,False,False,False,,632.46,777.24,1652062039.701,1652062039.753
1652062050,7c6d9e,-34.021492650953405,151.1780548095703,124.36464248063828,186.88983745618816,11.70432,QFA439  ,False,False,False,,746.76,906.78,1652062049.474,1652062049.696
1652062060,7c6d9e,-34.03322381488351,151.1766242980957,131.30017865390806,185.62124306643943,10.72896,QFA439  ,False,False,False,,861.0600000000001,1013.46,1652062059.785,1652062059.874
1652062070,7c6d9e,-34.04542050119176,151.17525100708008,138.42272338545578,185.11731484997264,10.40384,QFA439  ,False,False,False,,967.74,1127.76,1652062069.707,1652062069.965
1652062080,7c6d9e,-34.05850168001854,151.17387771606445,145.5976496849918,184.86451443776053,9.42848,QFA439  ,False,False,False,,1066.8,1226.82,1652062079.802,1652062079.985
1652062090,7c6d9e,-34.07176906779665,151.17244720458984,153.41993198439886,185.1944289077348,8.77824,QFA439  ,False,False,False,,1158.24,1318.26,1652062089.641,1652062089.887
1652062100,7c6d9e,-34.08576965332031,151.17092210419324,159.0564012449598,185.00987505855443,15.280640000000002,QFA439  ,False,False,False,,1264.92,1424.94,1652062099.485,1652062099.731
1652062110,7c6d9e,-34.100830078125,151.1692405233578,163.3957074933111,185.782392322364,11.05408,QFA439  ,False,False,False,,1409.7,1569.72,1652062110.0,1652062110.0
1652062120,7c6d9e,-34.11469023106463,151.16518020629883,168.21296173810322,198.54577224276775,16.581120000000002,QFA439  ,False,False,False,,1539.24,1699.26,1652062119.483,1652062119.945
1652062130,7c6d9e,-34.128609350172155,151.1579704284668,169.84522727605017,205.0902823595736,19.5072,QFA439  ,False,False,False,,1714.5,1859.28,1652062129.509,1652062129.822
1652062140,7c6d9e,-34.142342260328405,151.1487579345703,168.689003761244,211.0236893339731,25.03424,QFA439  ,False,False,False,,1950.72,2110.74,1652062139.653,1652062139.941
1652062150,7c6d9e,-34.15495791677705,151.1385154724121,165.84018171855175,215.02114130380863,26.0096,QFA439  ,False,False,False,,2209.8,2362.2000000000003,1652062149.762,1652062149.85
1652062160,7c6d9e,-34.16673563294495,151.1283302307129,164.45801922430738,215.57934744245537,19.182080000000003,QFA439  ,False,False,False,,2438.4,2606.04,1652062159.594,1652062159.828
1652062170,7c6d9e,-34.179444393869176,151.11740112304688,165.71566028078652,215.2688796436012,17.881600000000002,QFA439  ,False,False,False,,2621.28,2781.3,1652062169.972,1652062169.972
1652062180,7c6d9e,-34.19110107421875,151.10752650669644,166.8528353649778,215.2091034469164,15.93088,QFA439  ,False,False,False,,2781.3,2948.94,1652062179.538,1652062179.759
