time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1650851450,7c6dba,-33.96125405521718,151.17971420288086,87.96390690532812,171.2538377374448,10.40384,QFA439  ,False,False,False,,60.96,198.12,1650851449.683,1650851449.683
1650851460,7c6dba,-33.969268798828125,151.17977842992667,89.14737124741785,183.30821353387205,12.02944,QFA439  ,False,False,False,,167.64,312.42,1650851459.636,1650851459.898
1650851470,7c6dba,-33.97731457726434,151.17908477783203,91.77888580790578,183.85680098558984,9.7536,QFA439  ,False,False,False,,274.32,426.72,1650851469.569,1650851469.714
1650851480,7c6dba,-33.986297607421875,151.1784892179528,100.50634906060404,183.5214533769222,5.20192,QFA439  ,False,False,False,,350.52000000000004,502.9200000000001,1650851479.974,1650851479.982
1650851490,7c6dba,-33.9957275390625,151.17787263831315,110.26396411569758,183.209486317792,5.52704,QFA439  ,False,False,False,,403.86,556.26,1650851489.874,1650851489.898
1650851500,7c6dba,-34.006256103515625,151.17720000597896,115.40069453050758,183.06648550112587,15.60576,QFA439  ,False,False,False,,533.4,678.18,1650851499.974,1650851499.979
1650851510,7c6dba,-34.01693053164723,151.1766242980957,117.38457793068832,182.2605019111413,16.90624,QFA439  ,False,False,False,,693.4200000000001,838.2,1650851509.921,1650851509.921
1650851520,7c6dba,-34.0274513373941,151.1770248413086,119.6345024801578,176.05481377096245,15.280640000000002,QFA439  ,False,False,False,,853.44,1005.84,1650851519.83,1650851519.98
1650851530,7c6dba,-34.03839111328125,151.1788255341199,126.03038063441414,169.65331653281848,7.80288,QFA439  ,False,False,False,,952.5,1112.52,1650851529.753,1650851529.919
1650851540,7c6dba,-34.04988098144531,151.18230080117985,133.64657100123685,165.05437608287437,9.7536,QFA439  ,False,False,False,,1043.94,1203.96,1650851539.844,1650851539.916
1650851550,7c6dba,-34.062039650092686,151.18640899658203,140.69267480433365,164.08338148465984,9.7536,QFA439  ,False,False,False,,1143.0,1303.02,1650851549.778,1650851549.94
1650851560,7c6dba,-34.074554443359375,151.19076475805167,148.6137808525394,163.50972485754647,8.128,QFA439  ,False,False,False,,1226.8200000000002,1386.84,1650851559.638,1650851559.848
1650851570,7c6dba,-34.087270962989976,151.19522094726562,155.81539795235014,163.8986976008416,7.80288,QFA439  ,False,False,False,,1310.64,1470.66,1650851569.27,1650851569.914
1650851580,7c6dba,-34.101287841796875,151.20012555803572,162.31747653403255,163.8051682369025,8.77824,QFA439  ,False,False,False,,1386.84,1539.2400000000002,1650851579.449,1650851579.705
1650851590,7c6dba,-34.11590058924787,151.2051773071289,165.91995399998115,163.98139828774606,17.881600000000002,QFA439  ,False,False,False,,1539.24,1699.26,1650851589.602,1650851589.913
