time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1647825040,7c6de9,-33.95965576171875,151.1794981664541,80.20873245268886,168.90627698844216,7.80288,QFA441  ,False,False,False,4077.0,152.4,213.36,1647825039.521,1647825039.765
1647825050,7c6de9,-33.967071533203125,151.1799465880102,82.32550746605712,181.0741699983726,10.72896,QFA441  ,False,False,False,4077.0,251.46,320.04,1647825049.676,1647825049.773
1647825060,7c6de9,-33.97453308105469,151.17933000837053,83.53182966492857,183.88449157005303,11.05408,QFA441  ,False,False,False,4077.0,358.14000000000004,426.72,1647825059.98,1647825059.98
1647825070,7c6de9,-33.98262153237556,151.17868423461914,89.76273889563264,184.27278076760925,5.52704,QFA441  ,False,False,False,4077.0,434.34,502.92,1647825069.881,1647825069.979
1647825080,7c6de9,-33.99092102050781,151.17792869100765,97.9728850556805,183.91413721861244,7.152640000000001,QFA441  ,False,False,False,4077.0,495.3,563.88,1647825079.593,1647825079.913
1647825090,7c6de9,-34.00007629394531,151.17725605867346,104.0716524678589,183.11698859912016,7.152640000000001,QFA441  ,False,False,False,4077.0,571.5,647.7,1647825089.709,1647825089.814
1647825100,7c6de9,-34.01005554199219,151.17658342633928,111.35306453025832,183.70842815713044,9.7536,QFA441  ,False,False,False,4077.0,647.7,716.2800000000001,1647825099.775,1647825099.967
1647825110,7c6de9,-34.02014263605668,151.17616653442383,117.80879923481996,180.25019832019757,10.40384,QFA441  ,False,False,False,4077.0,762.0,838.2,1647825109.695,1647825109.982
1647825120,7c6de9,-34.03138732910156,151.17714395328443,123.85392884354066,173.08161359330634,8.45312,QFA441  ,False,False,False,4077.0,853.44,922.02,1647825119.79,1647825119.981
1647825130,7c6de9,-34.04278564453125,151.18011474609375,132.02280922210738,165.09734576096886,7.80288,QFA441  ,False,False,False,4077.0,929.64,1005.84,1647825129.818,1647825129.91
1647825140,7c6de9,-34.054591292041835,151.18412017822266,140.19802464122515,164.02572518039716,7.477760000000001,QFA441  ,False,False,False,4077.0,998.22,1074.42,1647825139.737,1647825139.845
1647825150,7c6de9,-34.066864013671875,151.18841054488203,144.72343874594807,163.69091507077562,15.60576,QFA441  ,False,False,False,4077.0,1120.14,1203.96,1647825149.617,1647825149.841
