time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1652674210,7c6dd8,,,83.14280890751961,167.85572195043304,8.77824,QFA445  ,False,False,False,,,,,1652674209.182
1652674220,7c6dd8,-33.97645568847656,151.19541713169644,86.10292736014709,166.87709014100372,12.02944,QFA445  ,False,False,False,,160.02,175.26000000000002,1652674219.642,1652674219.919
1652674230,7c6dd8,-33.98397154727223,151.19836807250977,90.52168084668354,156.20281864380965,10.40384,QFA445  ,False,False,False,,274.32,289.56,1652674229.891,1652674229.955
1652674240,7c6dd8,-33.98982238769531,151.204833984375,89.66243870910647,128.71114854457258,13.65504,QFA445  ,False,False,False,,396.24,419.1,1652674239.732,1652674239.829
1652674250,7c6dd8,-33.993328547073645,151.21381759643555,93.43215170406256,112.32865637801916,7.80288,QFA445  ,False,False,False,,502.92,525.78,1652674249.758,1652674249.871
1652674260,7c6dd8,-33.99700617386122,151.2238311767578,102.38598849489593,115.92130546290262,5.8521600000000005,QFA445  ,False,False,False,,556.26,579.12,1652674259.993,1652674259.993
1652674270,7c6dd8,-34.002220024496864,151.23321533203125,112.0460921599876,126.9751239361938,7.477760000000001,QFA445  ,False,False,False,,617.22,647.7,1652674269.685,1652674269.986
1652674280,7c6dd8,-34.00962183030987,151.2425994873047,120.47329510911275,136.90338884992428,6.827520000000001,QFA445  ,False,False,False,,685.8000000000001,716.2800000000001,1652674279.717,1652674279.959
1652674290,7c6dd8,-34.01847839355469,151.2509653519611,125.43364302345364,142.33111538628594,13.0048,QFA445  ,False,False,False,,807.72,838.2,1652674289.767,1652674289.877
1652674300,7c6dd8,-34.02708435058594,151.2593732561384,131.60921423552733,140.71059313749964,10.07872,QFA445  ,False,False,False,,914.4,937.26,1652674299.387,1652674299.6
1652674310,7c6dd8,-34.03680833719545,151.2692642211914,137.60295182711425,139.7007484344138,14.630400000000002,QFA445  ,False,False,False,,1028.7,1059.18,1652674309.846,1652674309.941
1652674320,7c6dd8,-34.04597912804559,151.27864837646484,143.01358147004203,139.37635038948417,9.7536,QFA445  ,False,False,False,,1135.38,1165.86,1652674319.513,1652674319.547
1652674330,7c6dd8,-34.0565185546875,151.2894735530931,150.32331850430998,139.44124118943282,13.65504,QFA445  ,False,False,False,,1242.0600000000002,1280.16,1652674329.716,1652674329.781
1652674340,7c6dd8,-34.06655521716101,151.29999160766602,149.4439897337085,138.62853215543643,20.15744,QFA445  ,False,False,False,,1440.18,1478.28,1652674339.593,1652674339.778
1652674350,7c6dd8,-34.07665705276747,151.3106918334961,149.0583180297383,138.4978351067725,19.182080000000003,QFA445  ,False,False,False,,1630.68,1676.4,1652674349.479,1652674349.991
1652674360,7c6dd8,-34.086851992849574,151.3213348388672,150.26873135533484,139.1646726518659,16.256,QFA445  ,False,False,False,,1798.3200000000002,1851.66,1652674359.709,1652674359.951
1652674370,7c6dd8,-34.09693908691406,151.33168123206315,150.32331850430998,139.44124118943282,19.5072,QFA445  ,False,False,False,,1965.96,2011.68,1652674369.383,1652674369.778
1652674380,7c6dd8,-34.10696255958686,151.34199142456055,151.43976651803962,139.546483382718,16.581120000000002,QFA445  ,False,False,False,,2125.98,2194.56,1652674379.242,1652674379.919
1652674390,7c6dd8,-34.11689758300781,151.3520844128667,152.6174232853489,139.922418187136,16.581120000000002,QFA445  ,False,False,False,,2278.38,2354.58,1652674388.512,1652674389.605
1652674400,7c6dd8,-34.12684036513508,151.36213302612305,153.736147489751,140.0225911810536,15.60576,QFA445  ,False,False,False,,2423.1600000000003,2491.74,1652674398.016,1652674399.975
1652674410,7c6dd8,-34.137500827595375,151.3728904724121,155.18568005292434,139.97555814909884,16.256,QFA445  ,False,False,False,,2583.1800000000003,2659.38,1652674408.007,1652674409.987
1652674420,7c6dd8,-34.14811706542969,151.38358602718432,155.5170253259189,139.83041995828992,17.55648,QFA445  ,False,False,False,,2743.2000000000003,2827.0200000000004,1652674417.837,1652674419.962
1652674430,7c6dd8,-34.15814208984375,151.3937315648916,157.42406691774983,140.1704557796304,15.280640000000002,QFA445  ,False,False,False,,2887.98,2979.42,1652674427.397,1652674429.97
1652674440,7c6dd8,-34.171966552734375,151.4076886858259,158.4788140572941,140.00391995224035,16.256,QFA445  ,False,False,False,,3086.1000000000004,3185.1600000000003,1652674439.851,1652674439.912
1652674450,7c6dd8,-34.18260994604077,151.41843795776367,159.534882365519,139.83958757629756,14.955520000000002,QFA445  ,False,False,False,,3230.88,3337.56,1652674449.771,1652674449.894
1652674460,7c6dd8,-34.193756103515625,151.42982950015943,161.31736739403752,139.65634634889608,14.305280000000002,QFA445  ,False,False,False,,3375.6600000000003,3482.34,1652674459.74,1652674459.91
1652674470,7c6dd8,-34.205513647047155,151.44115447998047,161.22793147084366,142.91071945877445,14.305280000000002,QFA445  ,False,False,False,,3520.44,3611.88,1652674469.949,1652674469.949
1652674480,7c6dd8,-34.218292236328125,151.44894346898917,158.9665256997553,157.75097634278762,11.05408,QFA445  ,False,False,False,,3634.74,3749.04,1652674479.808,1652674479.845
