time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1656314650,7c1473,-33.949676513671875,151.1769197425064,79.62589425690084,167.31058786351602,15.60576,QFA469  ,False,False,False,,-38.1,106.68,1656314649.727,1656314649.727
1656314660,7c1473,-33.95631951800851,151.17862701416016,74.558892662121,168.45747429956313,15.60576,QFA469  ,False,False,False,,129.54000000000002,274.32000000000005,1656314659.706,1656314659.994
1656314670,7c1473,-33.96272277832031,151.17944211375956,71.02308857922303,178.33971763101718,16.581120000000002,QFA469  ,False,False,False,,297.18,441.96,1656314669.658,1656314669.802
1656314680,7c1473,-33.969261040121864,151.17908477783203,72.13965136684752,183.2704879231836,10.40384,QFA469  ,False,False,False,,434.34,579.12,1656314679.854,1656314679.952
1656314690,7c1473,-33.976150771318885,151.1785125732422,80.53143905939892,184.76364169072616,6.1772800000000005,QFA469  ,False,False,False,,510.54,655.32,1656314689.664,1656314689.847
1656314700,7c1473,-33.98406465174787,151.17782592773438,90.75235434253108,183.90049374238188,7.152640000000001,QFA469  ,False,False,False,,586.74,731.52,1656314699.773,1656314699.843
1656314710,7c1473,-33.99302673339844,151.17708790058992,102.1517915369248,184.33231398318853,8.128,QFA469  ,False,False,False,,662.94,807.72,1656314709.887,1656314709.983
1656314720,7c1473,-34.00282287597656,151.1763031628667,111.42434266365692,184.23639479905884,15.280640000000002,QFA469  ,False,False,False,,777.24,899.1600000000001,1656314719.935,1656314719.935
1656314730,7c1473,-34.01315980038402,151.175537109375,116.45653257792937,183.292147112996,23.08352,QFA469  ,False,False,False,,960.12,1097.28,1656314729.884,1656314729.974
1656314740,7c1473,-34.023284912109375,151.17507000358736,116.77992113106636,180.2524026822892,24.05888,QFA469  ,False,False,False,,1203.96,1333.5,1656314739.523,1656314739.959
1656314750,7c1473,-34.033875546212926,151.1766815185547,118.95231320473025,169.0302420331994,21.78304,QFA469  ,False,False,False,,1447.8000000000002,1562.1,1656314749.523,1656314749.916
