time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1639380620,7c6deb,-33.95896911621094,151.17910579759248,81.21863567688636,169.04593735660168,9.7536,QFA483  ,False,False,False,,198.12,205.74,1639380619.864,1639380619.864
1639380630,7c6deb,-33.966002383474574,151.1795997619629,81.28377997103874,179.63737332603748,14.305280000000002,QFA483  ,False,False,False,4346.0,320.04,350.52000000000004,1639380629.656,1639380629.656
1639380640,7c6deb,-33.97382315942798,151.17902755737305,87.63837030750776,183.7022128531994,7.80288,QFA483  ,False,False,False,4346.0,426.72,457.2000000000001,1639380639.911,1639380639.911
1639380650,7c6deb,-33.98243532342428,151.17839813232422,98.45253954117184,183.5950096610091,7.80288,QFA483  ,False,False,False,4346.0,510.54,548.64,1639380649.71,1639380649.964
1639380660,7c6deb,-33.99201965332031,151.1777044802296,108.7535102701878,183.5256151971745,6.502400000000001,QFA483  ,False,False,False,4346.0,579.12,609.6,1639380659.789,1639380659.789
1639380670,7c6deb,-34.002266576734655,151.1769676208496,118.57348321968956,183.7313969991604,12.67968,QFA483  ,False,False,False,4346.0,678.1800000000001,708.6600000000001,1639380669.697,1639380669.697
1639380680,7c6deb,-34.013671875,151.1761910574777,126.6577426283438,182.32781508904117,12.67968,QFA483  ,False,False,False,4346.0,800.1,830.58,1639380679.905,1639380679.905
1639380690,7c6deb,-34.025496143405746,151.17673873901367,137.22835887235996,175.70013717980794,10.07872,QFA483  ,False,False,False,4346.0,899.1600000000001,944.88,1639380689.806,1639380689.995
1639380700,7c6deb,-34.03783248642748,151.17897033691406,147.3143427815228,167.90524292298792,12.02944,QFA483  ,False,False,False,4346.0,982.98,1028.7,1639380699.608,1639380699.772
1639380710,7c6deb,-34.051025390625,151.1831976442921,154.4908822746541,164.9456834403952,16.90624,QFA483  ,False,False,False,4346.0,1120.14,1158.24,1639380709.463,1639380709.889
1639380720,7c6deb,-34.065531067929044,151.18783950805664,156.74594565241458,164.7778667737316,19.182080000000003,QFA483  ,False,False,False,4346.0,1333.5,1379.22,1639380719.957,1639380719.957
1639380730,7c6deb,-34.07856569451803,151.19218826293945,160.62684960637387,164.5839385193638,18.20672,QFA483  ,False,False,False,4346.0,1493.52,6949.4400000000005,1639380729.65,1639380729.65
1639380740,7c6deb,-34.09153747558594,151.19653818558675,163.02356170341224,164.25328827715887,21.1328,QFA483  ,False,False,False,2420.0,1676.4,1729.74,1639380738.707,1639380739.85
1639380750,7c6deb,-34.10728454589844,151.20175108617667,162.74734952238092,164.60192012547245,25.68448,QFA483  ,False,False,False,4346.0,1920.24,1988.82,1639380749.356,1639380749.989
1639380760,7c6deb,-34.12111443988351,151.2063217163086,162.74734952238092,164.60192012547245,23.73376,QFA483  ,False,False,False,4346.0,2164.08,2217.42,1639380759.898,1639380759.898
1639380770,7c6deb,-34.13568529032045,151.21049880981445,163.39975670234443,170.21146311055983,22.43328,QFA483  ,False,False,False,4346.0,2377.44,2468.88,1639380769.73,1639380769.982
1639380780,7c6deb,-34.14960440942798,151.2110710144043,163.23770999544854,182.52876973963475,24.384,QFA483  ,False,False,False,4346.0,2567.94,2651.76,1639380779.46,1639380779.712
1639380790,7c6deb,-34.164825439453125,151.20763661910078,164.8678650557531,195.3805608223053,23.08352,QFA483  ,False,False,False,4346.0,2766.06,2849.88,1639380789.765,1639380789.978
1639380800,7c6deb,-34.17855990135064,151.19985580444336,167.1190951169916,210.1167845318984,23.08352,QFA483  ,False,False,False,4346.0,2964.1800000000003,3070.86,1639380799.895,1639380799.895
1639380810,7c6deb,-34.19032287597656,151.18885896643815,170.1628029304308,221.69107964312417,22.7584,QFA483  ,False,False,False,4346.0,3147.06,3230.88,1639380809.441,1639380809.877
1639380820,7c6deb,-34.2016498113083,151.17610931396484,171.47353075515397,222.6899577791976,17.881600000000002,QFA483  ,False,False,False,4346.0,3329.94,3451.86,1639380819.86,1639380819.97
1639380830,7c6deb,-34.21324131852492,151.1634635925293,174.09958533823703,222.12563822574936,17.881600000000002,QFA483  ,False,False,False,4346.0,3497.5800000000004,3627.12,1639380829.87,1639380829.988
1639380840,7c6deb,-34.225341796875,151.15035076530611,176.3170035308262,221.92508306938407,17.881600000000002,QFA483  ,False,False,False,4346.0,3672.84,3794.76,1639380839.841,1639380839.958
1639380850,7c6deb,-34.23674011230469,151.1382433832908,178.57951117328102,221.49646835521557,16.581120000000002,QFA483  ,False,False,False,4346.0,3832.86,3962.4,1639380849.493,1639380849.652
1639380860,7c6deb,-34.24917964612024,151.1250114440918,181.143468619288,221.43084284900533,18.531840000000003,QFA483  ,False,False,False,4346.0,4000.5,4152.9,1639380859.729,1639380859.997
1639380870,7c6deb,-34.261702198093246,151.11173629760742,182.25553705749965,221.3380644244802,17.55648,QFA483  ,False,False,False,4346.0,4168.14,4312.92,1639380869.776,1639380869.977
1639380880,7c6deb,-34.27375922768806,151.09891891479492,184.43373450334428,221.38137051985564,17.231360000000002,QFA483  ,False,False,False,4346.0,4335.780000000001,4488.18,1639380879.506,1639380879.824
1639380890,7c6deb,-34.286773681640625,151.0851054288903,185.5004029453625,221.5147781027789,17.881600000000002,QFA483  ,False,False,False,4346.0,4511.04,4678.68,1639380889.815,1639380889.937
1639380900,7c6deb,-34.29908752441406,151.0719890983737,186.5680655664977,221.6466595056821,18.531840000000003,QFA483  ,False,False,False,4346.0,4678.68,4853.9400000000005,1639380899.748,1639380899.996
1639380910,7c6deb,-34.311373435844814,151.0587501525879,186.9103269193484,221.7645008902456,18.20672,QFA483  ,False,False,False,4346.0,4861.56,5036.820000000001,1639380909.584,1639380909.975
1639380920,7c6deb,-34.32436151019601,151.0447883605957,188.36309278921348,221.78948119559692,15.60576,QFA483  ,False,False,False,4346.0,5021.58,5212.08,1639380919.907,1639380919.916
1639380930,7c6deb,-34.336790957693324,151.03134155273438,190.15926832360347,221.92960565868964,15.60576,QFA483  ,False,False,False,4346.0,5166.360000000001,5364.4800000000005,1639380929.857,1639380929.94
1639380940,7c6deb,-34.34980773925781,151.01722561583227,191.2299828377472,222.0559536500124,15.60576,QFA483  ,False,False,False,4346.0,5326.38,5532.12,1639380939.745,1639380939.979
1639380950,7c6deb,-34.36253356933594,151.003380600287,193.06528842019355,221.9758645499336,15.280640000000002,QFA483  ,False,False,False,4346.0,5463.54,5676.9,1639380949.782,1639380949.921
1639380960,7c6deb,-34.375662076271226,150.9891700744629,194.1745009259976,221.88566435172817,13.65504,QFA483  ,False,False,False,4346.0,5608.320000000001,5829.300000000001,1639380959.967,1639380959.967
1639380970,7c6deb,-34.38890075683594,150.9748497787787,196.35391431077105,221.9202651695013,13.65504,QFA483  ,False,False,False,4346.0,5737.860000000001,5943.6,1639380969.873,1639380969.873
1639380980,7c6deb,-34.40185546875,150.96078055245536,198.15111419978683,222.05355261998767,13.98016,QFA483  ,False,False,False,4346.0,5875.02,6111.240000000001,1639380979.642,1639380979.881
1639380990,7c6deb,-34.4150918217029,150.94642639160156,199.9864244584153,221.9762572799821,14.305280000000002,QFA483  ,False,False,False,4346.0,6004.56,6240.780000000001,1639380989.589,1639380989.858
1639381000,7c6deb,-34.42840576171875,150.93194961547852,201.09562659898668,221.8891593465092,14.630400000000002,QFA483  ,False,False,False,4346.0,6141.72,6377.9400000000005,1639380999.596,1639380999.871
1639381010,7c6deb,-34.44218444824219,150.9170033980389,202.54856519710145,221.91149601042503,14.305280000000002,QFA483  ,False,False,False,4346.0,6278.88,6530.34,1639381009.813,1639381009.849
1639381020,7c6deb,-34.4560546875,150.90192522321428,203.61911878081315,222.03025157092387,14.305280000000002,QFA483  ,False,False,False,4346.0,6416.04,6675.12,1639381019.999,1639381020.0
1639381030,7c6deb,-34.469278626522794,150.88748931884766,205.07224588631215,222.05131365816024,13.98016,QFA483  ,False,False,False,4346.0,6545.58,6804.66,1639381029.482,1639381029.737
1639381040,7c6deb,-34.48292541503906,150.8726657166773,205.7988197209145,222.06173316293592,14.630400000000002,QFA483  ,False,False,False,4346.0,6690.360000000001,6964.68,1639381039.657,1639381039.962
1639381050,7c6deb,-34.496978759765625,150.85736333107462,206.9075605054045,221.97662373609373,13.32992,QFA483  ,False,False,False,4346.0,6827.52,7101.84,1639381049.669,1639381049.935
1639381060,7c6deb,-34.51029114804027,150.84291458129883,207.63408507818363,221.98721249581664,13.98016,QFA483  ,False,False,False,4346.0,6957.06,7231.38,1639381059.319,1639381059.799
1639381070,7c6deb,-34.52503967285156,150.8268706652583,207.97858149005867,222.09255486565164,13.65504,QFA483  ,False,False,False,4346.0,7094.22,7368.54,1639381069.855,1639381069.914
1639381080,7c6deb,-34.538726806640625,150.8119045958227,209.3964031146788,222.31156424732148,13.32992,QFA483  ,False,False,False,4346.0,7223.76,7513.320000000001,1639381079.819,1639381079.991
1639381090,7c6deb,-34.55246747550319,150.7953643798828,210.6590076549152,226.0883899211305,12.35456,QFA483  ,False,False,False,4346.0,7345.68,7635.240000000001,1639381089.974,1639381089.994
1639381100,7c6deb,-34.5645710573358,150.77882766723633,212.03893958603305,229.6248717310231,10.72896,QFA483  ,False,False,False,4346.0,7452.360000000001,7749.540000000001,1639381099.677,1639381099.943
