time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1655686140,7c5b4a,-33.92816162109375,151.17131447305485,72.04053065710275,348.04812486997525,6.502400000000001,QLK401  ,False,False,False,,45.72,160.02,1655686139.976,1655686139.976
1655686150,7c5b4a,-33.921963966498936,151.16958618164062,74.23874326628382,345.96375653207355,7.477760000000001,QLK401  ,False,False,False,,106.68,228.6,1655686149.529,1655686149.853
1655686160,7c5b4a,-33.915802001953125,151.16610157246492,75.68623492847772,320.7927964950322,5.52704,QLK401  ,False,False,False,,175.26000000000002,304.80000000000007,1655686159.664,1655686159.821
1655686170,7c5b4a,-33.91200256347656,151.15920709103955,75.68623492847772,290.2825590889166,7.80288,QLK401  ,False,False,False,,243.84,365.76,1655686169.99,1655686169.99
1655686180,7c5b4a,-33.91136169433594,151.15124760841837,77.55147321047873,264.2894068625004,3.90144,QLK401  ,False,False,False,,297.18,419.1,1655686179.704,1655686179.912
1655686190,7c5b4a,-33.91330525026484,151.14315032958984,81.96466916066557,248.26536878121195,1.95072,QLK401  ,False,False,False,,327.66,457.2000000000001,1655686189.692,1655686189.788
1655686200,7c5b4a,-33.91612243652344,151.13499232700894,87.69723714400676,247.94893728092325,1.30048,QLK401  ,False,False,False,,342.90000000000003,472.44000000000005,1655686199.34,1655686199.865
1655686210,7c5b4a,-33.91937255859375,151.1252952108578,93.71498011459086,248.08177970808032,1.95072,QLK401  ,False,False,False,,358.14000000000004,487.68000000000006,1655686209.606,1655686209.763
1655686220,7c5b4a,-33.92252259335277,151.11574172973633,98.69015177545867,248.91960292007747,2.60096,QLK401  ,False,False,False,,381.0,510.54,1655686219.54,1655686219.816
1655686230,7c5b4a,-33.92564159328657,151.10549926757812,102.67379498379462,250.3847979647542,3.5763200000000004,QLK401  ,False,False,False,,411.48,541.02,1655686229.402,1655686229.915
1655686240,7c5b4a,-33.92871404098253,151.09491348266602,104.78505751105148,250.49755149333777,3.5763200000000004,QLK401  ,False,False,False,,449.58,579.1200000000001,1655686239.522,1655686239.708
1655686250,7c5b4a,-33.932098388671875,151.083984375,106.33571168631732,249.02219278712636,3.5763200000000004,QLK401  ,False,False,False,,487.68,617.22,1655686249.643,1655686249.995
1655686260,7c5b4a,-33.9356689453125,151.07311015226404,108.71334995908438,248.0475475080596,2.27584,QLK401  ,False,False,False,,518.1600000000001,647.7,1655686259.874,1655686259.979
1655686270,7c5b4a,-33.93946838378906,151.06206777144453,111.3970247697752,247.46154995917192,3.2512000000000003,QLK401  ,False,False,False,,541.02,670.56,1655686269.758,1655686269.799
1655686280,7c5b4a,-33.943450927734375,151.05068907445792,112.74307572872466,247.17902749064763,2.92608,QLK401  ,False,False,False,,571.5,701.04,1655686279.995,1655686280.0
1655686290,7c5b4a,-33.9473876953125,151.03970274633292,112.40807411155652,246.25050550713323,5.52704,QLK401  ,False,False,False,,632.46,754.3800000000001,1655686289.775,1655686289.864
1655686300,7c5b4a,-33.951478085275426,151.02882385253906,112.3574432888909,245.6646009432563,4.55168,QLK401  ,False,False,False,,678.1800000000001,807.72,1655686299.737,1655686299.747
1655686310,7c5b4a,-33.95558166503906,151.01795430086096,112.82637750739671,245.7722546820458,3.90144,QLK401  ,False,False,False,,716.2800000000001,845.8200000000002,1655686309.395,1655686309.925
1655686320,7c5b4a,-33.95988464355469,151.00629534040178,113.55703128671338,246.2219954185028,3.90144,QLK401  ,False,False,False,,754.38,883.9200000000001,1655686319.673,1655686319.944
1655686330,7c5b4a,-33.96400451660156,150.9949726961097,114.49933314002328,246.42958368872877,4.22656,QLK401  ,False,False,False,,800.1,929.64,1655686329.596,1655686329.964
