time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1618196980,7c4bf6,-33.966064453125,151.18095553651148,79.16422334577962,171.02737338510363,13.65504,RXA111  ,False,False,False,,205.74,259.08000000000004,1618196979.169,1618196979.169
1618196990,7c4bf6,-33.97377660719019,151.18097305297852,80.38671062814868,183.301865674435,11.3792,RXA111  ,False,False,False,,327.66,373.38,1618196989.56,1618196989.791
1618197000,7c4bf6,-33.98149108886719,151.18017079878828,85.70087376323694,184.82076607809265,6.827520000000001,RXA111  ,False,False,False,,419.1,480.06,1618196999.948,1618196999.948
1618197010,7c4bf6,-33.98945617675781,151.17933000837053,93.52416475406127,185.36563092663985,4.22656,RXA111  ,False,False,False,,472.44,533.4,1618197009.756,1618197009.843
1618197020,7c4bf6,-33.998565673828125,151.17826500717476,101.91965312729434,186.08469386526875,4.55168,RXA111  ,False,False,False,,525.78,586.74,1618197019.838,1618197019.996
1618197030,7c4bf6,-34.00799560546875,151.17714395328443,110.992410702947,184.7856954923749,5.52704,RXA111  ,False,False,False,,579.12,640.08,1618197029.975,1618197029.975
1618197040,7c4bf6,-34.01866149902344,151.17680763711735,118.84101797713885,179.50394503960476,6.827520000000001,RXA111  ,False,False,False,,655.32,716.2800000000001,1618197039.798,1618197039.881
1618197050,7c4bf6,-34.029825501522794,151.17782592773438,125.10618085091976,174.33629374197943,10.40384,RXA111  ,False,False,False,,762.0,807.72,1618197049.851,1618197049.851
1618197060,7c4bf6,-34.040765277409946,151.18005752563477,129.44478324168793,169.0026680536784,10.07872,RXA111  ,False,False,False,,876.3000000000001,929.64,1618197059.436,1618197059.637
1618197070,7c4bf6,-34.05253601074219,151.18370211854273,135.6357727952324,165.27855908502193,8.128,RXA111  ,False,False,False,,982.98,1043.94,1618197069.737,1618197069.788
1618197080,7c4bf6,-34.06443786621094,151.18756975446428,141.76642993525596,164.85429385556984,7.152640000000001,RXA111  ,False,False,False,,1059.18,1112.52,1618197079.447,1618197079.562
1618197090,7c4bf6,-34.07754154528601,151.19190216064453,147.90421569084327,164.4652213847667,11.3792,RXA111  ,False,False,False,,1165.86,1219.2,1618197089.78,1618197089.789
1618197100,7c4bf6,-34.09034729003906,151.19620186941964,150.16302243776752,164.29726712608166,15.60576,RXA111  ,False,False,False,7210.0,1310.64,1363.98,1618197099.695,1618197099.775
1618197110,7c4bf6,-34.1035642462262,151.20071411132812,150.79791943485716,164.16199999863045,16.581120000000002,RXA111  ,False,False,False,7210.0,1478.28,1531.62,1618197109.771,1618197109.905
1618197120,7c4bf6,-34.11659887281519,151.2051773071289,150.3030707460034,164.10847881710924,17.881600000000002,RXA111  ,False,False,False,7210.0,1668.78,1706.88,1618197119.819,1618197119.957
1618197130,7c4bf6,-34.12958694716633,151.2095832824707,149.17279364218248,164.19031151823904,19.182080000000003,RXA111  ,False,False,False,7210.0,1851.66,1905.0,1618197129.746,1618197129.93
1618197140,7c4bf6,-34.14290088718224,151.2131309509277,146.74013497255353,170.1083802731778,22.10816,RXA111  ,False,False,False,7210.0,2042.16,2072.64,1618197139.917,1618197139.917
1618197150,7c4bf6,-34.15598206600902,151.21307373046875,144.0167578630637,184.7126516897885,21.45792,RXA111  ,False,False,False,7210.0,2232.6600000000003,2270.76,1618197149.952,1618197149.952
1618197160,7c4bf6,-34.16839599609375,151.20898188376913,143.68099504024073,199.66762361932624,19.182080000000003,RXA111  ,False,False,False,7210.0,2400.3,2453.6400000000003,1618197159.759,1618197159.966
1618197170,7c4bf6,-34.17933654785156,151.2015268753986,145.68305646482153,213.1850247637768,15.280640000000002,RXA111  ,False,False,False,7210.0,2522.2200000000003,2567.94,1618197169.429,1618197169.918
