time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1650255090,7c5856,-33.975499039989415,151.19504928588867,87.72288468459911,166.77871976827805,14.305280000000002,RXA117  ,False,False,False,,137.16,144.78,1650255089.851,1650255089.851
1650255100,7c5856,-33.98286437988281,151.19855608258928,91.23225957043483,148.37133196989194,12.02944,RXA117  ,False,False,False,,259.08000000000004,281.94000000000005,1650255099.753,1650255100.0
1650255110,7c5856,-33.9882078009137,151.20615005493164,92.84253406149315,119.54798935887032,11.05408,RXA117  ,False,False,False,,388.62,419.1,1650255109.836,1650255109.866
1650255120,7c5856,-33.991973876953125,151.2154279436384,99.64024653425896,115.37431728522066,5.8521600000000005,RXA117  ,False,False,False,,464.8200000000001,502.9200000000001,1650255119.746,1650255119.93
1650255130,7c5856,-33.99650573730469,151.22540532326212,109.01965383300676,122.86518528827958,9.10336,RXA117  ,False,False,False,,525.78,563.88,1650255129.91,1650255129.952
1650255140,7c5856,-34.00263899463721,151.23498916625977,118.1318464019812,131.11550842994694,4.55168,RXA117  ,False,False,False,,586.74,632.46,1650255139.599,1650255139.874
1650255150,7c5856,-34.01092529296875,151.24429508131377,125.28058177910287,140.1643049465183,13.32992,RXA117  ,False,False,False,,670.5600000000001,716.2800000000001,1650255149.898,1650255149.993
1650255160,7c5856,-34.01977021815412,151.2531852722168,132.19709419032867,140.0516893437624,9.10336,RXA117  ,False,False,False,,777.24,822.96,1650255159.79,1650255159.977
1650255170,7c5856,-34.029173770193324,151.26256942749023,137.40181931854357,140.46909497011194,16.256,RXA117  ,False,False,False,,891.5400000000001,937.26,1650255169.81,1650255169.997
1650255180,7c5856,-34.03894974013508,151.2722396850586,138.1260584915614,140.4403320310055,18.85696,RXA117  ,False,False,False,,1074.42,1127.76,1650255179.974,1650255179.974
1650255190,7c5856,-34.0482136354608,151.28168106079102,137.49135480660357,139.0964171152877,20.15744,RXA117  ,False,False,False,,1272.54,1333.5,1650255189.767,1650255189.985
1650255200,7c5856,-34.05766373973785,151.2917518615723,143.1643211957418,138.05869757409582,8.77824,RXA117  ,False,False,False,,1402.0800000000002,1470.66,1650255199.731,1650255200.0
1650255210,7c5856,-34.06757936639303,151.30250930786133,145.34385955472854,138.01278750418336,18.85696,RXA117  ,False,False,False,,1554.48,1615.44,1650255209.913,1650255209.987
1650255220,7c5856,-34.077117919921875,151.3124551578444,144.5816467084813,139.90729984228815,20.80768,RXA117  ,False,False,False,,1744.98,1813.56,1650255219.579,1650255219.993
1650255230,7c5856,-34.08705139160156,151.32260069555167,143.34906134769324,139.22028388575777,22.43328,RXA117  ,False,False,False,,1943.1,2019.3,1650255229.73,1650255229.977
1650255240,7c5856,-34.09666442871094,151.3326901805644,146.87984330492498,138.5497798676233,11.70432,RXA117  ,False,False,False,,2095.5,2186.94,1650255239.323,1650255239.887
1650255250,7c5856,-34.10803326105668,151.3428497314453,151.31039056828263,149.3369182679246,13.32992,RXA117  ,False,False,False,,2209.8,2293.6200000000003,1650255249.878,1650255249.98
1650255260,7c5856,-34.12060546875,151.34816072425065,149.54312810019724,167.6849815207256,17.55648,RXA117  ,False,False,False,,2369.82,2461.26,1650255259.943,1650255259.971
1650255270,7c5856,-34.133331298828125,151.3486651985013,146.5741147952196,186.65109602506365,18.85696,RXA117  ,False,False,False,,2529.84,2636.52,1650255269.45,1650255269.83
1650255280,7c5856,-34.14615954382947,151.3443374633789,143.61190545553137,202.9829912320474,16.90624,RXA117  ,False,False,False,,2712.7200000000003,2827.0200000000004,1650255279.782,1650255279.975
1650255290,7c5856,-34.15704345703125,151.33605334223537,141.16590830892042,219.0837305887368,16.90624,RXA117  ,False,False,False,,2872.74,2987.0400000000004,1650255289.808,1650255289.986
1650255300,7c5856,-34.165664931475135,151.32516860961914,140.1706502341223,229.7636416907262,13.98016,RXA117  ,False,False,False,,3025.1400000000003,3147.0600000000004,1650255299.74,1650255299.987
1650255310,7c5856,-34.17425537109375,151.31323989556762,147.3143427815228,228.96465472285607,4.22656,RXA117  ,False,False,False,,3108.96,3230.88,1650255309.958,1650255309.958
1650255320,7c5856,-34.18327331542969,151.3008522500797,155.2990473028205,228.76051070575696,6.502400000000001,RXA117  ,False,False,False,,3162.3,3284.2200000000003,1650255319.802,1650255319.968
1650255330,7c5856,-34.19270324707031,151.2879040776467,162.21961926006327,228.72860983277096,5.20192,RXA117  ,False,False,False,,3208.02,3337.56,1650255329.837,1650255329.987
1650255340,7c5856,-34.20222473144531,151.27484379982462,169.4802165387379,228.56866323037684,5.52704,RXA117  ,False,False,False,,3261.36,3398.52,1650255339.472,1650255339.904
1650255350,7c5856,-34.21272924390894,151.26062393188477,176.74202605721564,228.42185903099903,4.8768,RXA117  ,False,False,False,,3307.0800000000004,3444.24,1650255349.61,1650255349.999
1650255360,7c5856,-34.2235107421875,151.24603271484375,179.6470563632745,228.3664606634298,14.630400000000002,RXA117  ,False,False,False,,3413.76,3558.5400000000004,1650255359.704,1650255359.989
1650255370,7c5856,-34.23442258673202,151.23126983642578,181.0996329805193,228.3394279787109,14.305280000000002,RXA117  ,False,False,False,,3558.54,3703.32,1650255369.806,1650255369.867
1650255380,7c5856,-34.24554857157045,151.2161636352539,182.9367493411465,228.41998309486112,14.305280000000002,RXA117  ,False,False,False,,3688.08,3832.86,1650255379.978,1650255379.978
1650255390,7c5856,-34.256348690744176,151.2015151977539,184.73124604121932,228.273706244784,13.32992,RXA117  ,False,False,False,,3817.62,3970.02,1650255389.991,1650255390.0
1650255400,7c5856,-34.26759338378906,151.18633659518494,186.5680655664977,228.3533404943179,14.630400000000002,RXA117  ,False,False,False,,3947.16,4099.56,1650255400.0,1650255400.0
1650255410,7c5856,-34.27857971191406,151.17142657844389,187.6790141960407,228.4447157199551,14.955520000000002,RXA117  ,False,False,False,,4091.94,4259.58,1650255409.664,1650255409.976
1650255420,7c5856,-34.28968009302173,151.15631103515625,188.4501834733273,228.65222278030635,15.280640000000002,RXA117  ,False,False,False,,4236.72,4411.9800000000005,1650255419.563,1650255419.928
1650255430,7c5856,-34.301239013671875,151.1404294383769,189.51658926148085,228.5214533769222,14.305280000000002,RXA117  ,False,False,False,,4381.5,4564.38,1650255429.891,1650255429.99
1650255440,7c5856,-34.31236267089844,151.1252952108578,190.96893018221783,228.49463892725333,13.32992,RXA117  ,False,False,False,,4511.04,4701.54,1650255439.625,1650255439.988
1650255450,7c5856,-34.32398909229346,151.10950469970703,193.1475185143957,228.45517336771937,12.67968,RXA117  ,False,False,False,,4640.58,4831.08,1650255449.684,1650255449.989
1650255460,7c5856,-34.33525085449219,151.0942420180963,194.94169634925632,228.3162342642743,12.35456,RXA117  ,False,False,False,,4747.26,4945.38,1650255459.517,1650255459.998
1650255470,7c5856,-34.34731176344019,151.07786178588867,196.7786966979567,228.39133941979637,13.98016,RXA117  ,False,False,False,,4876.8,5082.54,1650255469.708,1650255469.958
1650255480,7c5856,-34.359466552734375,151.06139513911037,197.5049609981268,228.37885429929815,12.67968,RXA117  ,False,False,False,,5013.96,5219.7,1650255479.988,1650255479.988
1650255490,7c5856,-34.371006852489415,151.04570388793945,199.6838093490464,228.34194385726116,11.70432,RXA117  ,False,False,False,,5120.64,5341.620000000001,1650255489.791,1650255489.888
1650255500,7c5856,-34.382784568657314,151.0297966003418,201.5209202248989,228.4150472784642,11.70432,RXA117  ,False,False,False,,5234.9400000000005,5455.92,1650255499.587,1650255499.993
1650255510,7c5856,-34.395120911679044,151.01303100585938,202.58906615711243,228.2939649878451,14.305280000000002,RXA117  ,False,False,False,,5356.860000000001,5585.460000000001,1650255509.746,1650255509.926
1650255520,7c5856,-34.40755035917641,150.99626541137695,203.31540215947336,228.2821845198391,12.67968,RXA117  ,False,False,False,,5486.400000000001,5715.000000000001,1650255519.948,1650255519.984
1650255530,7c5856,-34.41951428429559,150.98007202148438,203.699686939101,228.378477395534,14.955520000000002,RXA117  ,False,False,False,,5615.9400000000005,5852.160000000001,1650255529.765,1650255529.971
1650255540,7c5856,-34.43133544921875,150.96397555604273,204.81074610004237,228.46207305613507,10.72896,RXA117  ,False,False,False,,5737.860000000001,5981.700000000001,1650255539.408,1650255539.962
1650255550,7c5856,-34.44410705566406,150.94654316804846,205.9222365440789,228.54476645559487,14.305280000000002,RXA117  ,False,False,False,,5859.780000000001,6103.62,1650255549.814,1650255549.926
1650255560,7c5856,-34.45637512207031,150.9297834123884,206.2631766685145,228.4376649923652,13.32992,RXA117  ,False,False,False,,5996.9400000000005,6240.780000000001,1650255559.898,1650255559.995
1650255570,7c5856,-34.468414306640625,150.91335997289542,205.9222365440789,228.54476645559487,14.305280000000002,RXA117  ,False,False,False,,6126.4800000000005,6377.9400000000005,1650255569.666,1650255569.985
1650255580,7c5856,-34.48105634269069,150.8961296081543,205.53695672180984,228.449825904246,15.60576,RXA117  ,False,False,False,,6271.26,6530.34,1650255579.973,1650255579.973
1650255590,7c5856,-34.49283405885859,150.8800506591797,204.81074610004237,228.46207305613507,13.65504,RXA117  ,False,False,False,,6416.04,6682.74,1650255589.632,1650255589.982
1650255600,7c5856,-34.50507729740468,150.86334228515625,205.53695672180984,228.449825904246,12.35456,RXA117  ,False,False,False,,6537.96,6812.28,1650255599.602,1650255599.928
1650255610,7c5856,-34.51755329713984,150.8462905883789,205.53695672180984,228.449825904246,12.02944,RXA117  ,False,False,False,,6659.88,6934.2,1650255609.74,1650255609.988
1650255620,7c5856,-34.53012240135064,150.82918167114258,206.2631766685145,228.4376649923652,12.35456,RXA117  ,False,False,False,,6774.18,7056.12,1650255619.896,1650255619.978
1650255630,7c5856,-34.541946669756385,150.81298828125,207.37453958043176,228.51991005626232,9.7536,RXA117  ,False,False,False,,6880.860000000001,7170.420000000001,1650255629.501,1650255629.921
1650255640,7c5856,-34.55442810058594,150.7957614198023,208.4133219277165,229.70550713224543,9.7536,RXA117  ,False,False,False,,6972.3,7261.860000000001,1650255639.702,1650255639.977
1650255650,7c5856,-34.56629349013508,150.7773399353027,208.56057193752025,233.52582418870008,8.77824,RXA117  ,False,False,False,,7071.360000000001,7368.540000000001,1650255649.929,1650255649.965
1650255660,7c5856,-34.57708740234375,150.7594392737564,210.21883994009292,233.8592310136451,9.7536,RXA117  ,False,False,False,,7147.56,7444.740000000001,1650255659.704,1650255659.988
1650255670,7c5856,-34.58812648967165,150.74111938476562,211.35323031978285,233.9111064744228,8.77824,RXA117  ,False,False,False,,7239.0,7536.18,1650255669.548,1650255669.966
1650255680,7c5856,-34.599624892412635,150.7221221923828,212.07201251016969,233.88065915052027,10.07872,RXA117  ,False,False,False,,7330.44,7635.240000000001,1650255679.828,1650255679.996
1650255690,7c5856,-34.61077880859375,150.70361079001913,213.5097547389252,233.82037955202105,7.477760000000001,RXA117  ,False,False,False,,7414.26,7726.68,1650255689.598,1650255689.979
1650255700,7c5856,-34.6219482421875,150.6851134008291,214.64401445915175,233.87166499337891,9.10336,RXA117  ,False,False,False,,7490.46,7802.88,1650255699.509,1650255699.924
1650255710,7c5856,-34.63370113049524,150.66564559936523,215.3628733416496,233.8418145601917,9.42848,RXA117  ,False,False,False,,7589.52,7909.56,1650255709.793,1650255709.933
1650255720,7c5856,-34.644920219809364,150.6470489501953,215.77844434488003,233.92241122064303,10.72896,RXA117  ,False,False,False,,7680.96,8001.0,1650255719.669,1650255719.989
1650255730,7c5856,-34.65655827926378,150.6277084350586,215.77844434488003,233.92241122064303,10.40384,RXA117  ,False,False,False,,7780.02,8107.68,1650255729.86,1650255729.994
1650255740,7c5856,-34.666939428297155,150.6104278564453,215.77844434488003,233.92241122064303,9.7536,RXA117  ,False,False,False,,7871.46,8199.12,1650255738.982,1650255739.988
1650255750,7c5856,-34.67930603027344,150.5899359255421,216.49720374753608,233.8925487082481,8.77824,RXA117  ,False,False,False,,7962.900000000001,8298.18,1650255749.623,1650255749.982
1650255760,7c5856,-34.69102478027344,150.57042958785078,216.9130417262728,233.9726266148964,8.77824,RXA117  ,False,False,False,,8054.34,8382.0,1650255759.934,1650255759.955
1650255770,7c5856,-34.702644994703405,150.55109024047852,217.63170213304,233.9427539484097,8.128,RXA117  ,False,False,False,,8138.160000000001,8473.44,1650255769.915,1650255769.961
1650255780,7c5856,-34.713770979541835,150.53266525268555,218.7663658847897,233.9924384327489,8.128,RXA117  ,False,False,False,,8214.36,8557.26,1650255779.563,1650255779.994
1650255790,7c5856,-34.72572326660156,150.5126953125,220.2036664324596,233.9332616059662,5.8521600000000005,RXA117  ,False,False,False,,8275.32,8618.22,1650255789.783,1650255789.98
1650255800,7c5856,-34.737396240234375,150.49318897480867,221.33829794514185,233.9824174178621,7.477760000000001,RXA117  ,False,False,False,,8343.9,8686.800000000001,1650255799.945,1650255799.972
1650255810,7c5856,-34.74924378475902,150.47344207763672,222.0569384251078,233.95310838042295,7.477760000000001,RXA117  ,False,False,False,,8420.1,8763.0,1650255809.944,1650255809.97
1650255820,7c5856,-34.76069641113281,150.4544005102041,223.19163463658924,234.0017551225613,6.827520000000001,RXA117  ,False,False,False,,8481.060000000001,8831.580000000002,1650255819.585,1650255819.962
1650255830,7c5856,-34.77250671386719,150.4346139090402,224.32649011444173,234.04990969669095,6.502400000000001,RXA117  ,False,False,False,,8542.02,8900.16,1650255829.654,1650255829.981
1650255840,7c5856,-34.78453038102492,150.4145622253418,225.4615024536741,234.0975794672412,6.827520000000001,RXA117  ,False,False,False,,8610.6,8968.74,1650255839.794,1650255839.991
1650255850,7c5856,-34.79644775390625,150.39459228515625,226.29572340757508,234.25034090432712,5.8521600000000005,RXA117  ,False,False,False,,8671.560000000001,9029.7,1650255849.787,1650255849.937
1650255860,7c5856,-34.8085978879767,150.37405014038086,227.5500433703085,234.47738023120405,6.502400000000001,RXA117  ,False,False,False,,8732.52,9098.28,1650255859.944,1650255859.947
1650255870,7c5856,-34.8204345703125,150.35401013432718,228.98537540107228,234.417431295681,6.1772800000000005,RXA117  ,False,False,False,,8793.48,9159.24,1650255869.899,1650255869.994
1650255880,7c5856,-34.83206021583686,150.33428192138672,229.70313454155385,234.38773779361557,5.8521600000000005,RXA117  ,False,False,False,,8854.44,9227.82,1650255879.64,1650255879.986
1650255890,7c5856,-34.84416379766952,150.3138542175293,230.42095499189503,234.35822928943503,6.502400000000001,RXA117  ,False,False,False,,8915.4,9288.78,1650255889.549,1650255889.872
1650255900,7c5856,-34.85636901855469,150.29324901347258,230.72110832001272,234.25440686529583,5.52704,RXA117  ,False,False,False,,8968.74,9342.12,1650255899.727,1650255899.915
1650255910,7c5856,-34.86882019042969,150.27234135841837,231.0220172509786,234.1508545617693,8.77824,RXA117  ,False,False,False,,9037.32,9410.7,1650255909.835,1650255910.0
1650255920,7c5856,-34.88099670410156,150.2519381776148,230.60522542503145,234.0759975991209,9.42848,RXA117  ,False,False,False,,9128.76,9502.14,1650255919.924,1650255919.995
1650255930,7c5856,-34.89312744140625,150.23164710220027,229.47028207601144,234.029289638632,10.40384,RXA117  ,False,False,False,,9220.2,9601.2,1650255929.897,1650255929.987
1650255940,7c5856,-34.90521240234375,150.21146813217476,227.616909060333,234.0107095468176,11.05408,RXA117  ,False,False,False,,9326.88,9707.88,1650255939.883,1650255939.883
1650255950,7c5856,-34.91670227050781,150.192242057956,225.76356037384133,233.99182439588785,12.02944,RXA117  ,False,False,False,,9433.56,9822.180000000002,1650255949.532,1650255949.964
1650255960,7c5856,-34.92906188964844,150.17155861367985,224.7431502312448,234.12690636188316,9.42848,RXA117  ,False,False,False,,9532.62,9921.240000000002,1650255959.956,1650255959.966
1650255970,7c5856,-34.94087219238281,150.15171595982144,223.19163463658924,234.0017551225613,9.42848,RXA117  ,False,False,False,,9631.68,10020.3,1650255969.868,1650255969.946
1650255980,7c5856,-34.95249085507152,150.1321792602539,222.58845140876147,234.21602268481456,7.80288,RXA117  ,False,False,False,,9715.5,10111.74,1650255979.723,1650255979.959
1650255990,7c5856,-34.963897705078125,150.11309565330038,222.8896533792507,234.1087439412339,0.97536,RXA117  ,False,False,False,,9753.6,10157.46,1650255989.487,1650255989.905
1650256000,7c5856,-34.97623249635859,150.0922966003418,223.30662413328704,234.1861261601535,0.0,RXA117  ,False,False,False,,9753.6,10157.46,1650255999.92,1650255999.993
1650256010,7c5856,-34.98801021252649,150.0725555419922,223.30662413328704,234.1861261601535,0.0,RXA117  ,False,False,False,,9753.6,10157.46,1650256009.886,1650256009.999
1650256020,7c5856,-34.9997413764566,150.0527572631836,223.4239235229165,234.3703055106161,-0.32512,RXA117  ,False,False,False,,9753.6,10157.46,1650256019.863,1650256019.976
1650256030,7c5856,-35.01123977919758,150.03324508666992,223.4239235229165,234.3703055106161,0.0,RXA117  ,False,False,False,,9745.98,10142.22,1650256029.827,1650256029.973
1650256040,7c5856,-35.02269162970077,150.01379013061523,223.4239235229165,234.3703055106161,0.0,RXA117  ,False,False,False,,9753.6,10149.84,1650256039.639,1650256039.932
1650256050,7c5856,-35.03414348020391,149.99427795410156,223.4239235229165,234.3703055106161,0.0,RXA117  ,False,False,False,,9745.98,10142.22,1650256049.501,1650256049.999
1650256060,7c5856,-35.046107405323085,149.9740219116211,223.4239235229165,234.3703055106161,0.0,RXA117  ,False,False,False,,9745.98,10142.22,1650256059.533,1650256059.787
1650256070,7c5856,-35.05815124511719,149.9535136320153,223.4239235229165,234.3703055106161,0.0,RXA117  ,False,False,False,,9745.98,10142.22,1650256069.881,1650256069.966
1650256080,7c5856,-35.06986999511719,149.9336709781569,223.30662413328704,234.1861261601535,0.0,RXA117  ,False,False,False,,9753.6,10149.84,1650256079.94,1650256079.94
1650256090,7c5856,-35.08125434487556,149.91445541381836,223.4239235229165,234.3703055106161,0.0,RXA117  ,False,False,False,,9753.6,10149.84,1650256089.577,1650256089.866
1650256100,7c5856,-35.09330749511719,149.89398567044006,223.4239235229165,234.3703055106161,0.0,RXA117  ,False,False,False,,9753.6,10149.84,1650256099.851,1650256099.851
1650256110,7c5856,-35.10502624511719,149.87408696388712,223.4239235229165,234.3703055106161,0.32512,RXA117  ,False,False,False,,9753.6,10149.84,1650256109.932,1650256109.993
1650256120,7c5856,-35.11674499511719,149.8542443100287,223.4239235229165,234.3703055106161,0.0,RXA117  ,False,False,False,,9745.98,10142.22,1650256119.843,1650256119.964
1650256130,7c5856,-35.12808589612024,149.83497619628906,223.12462890649337,234.4776788893821,0.0,RXA117  ,False,False,False,,9753.6,10149.84,1650256129.532,1650256129.897
1650256140,7c5856,-35.139678955078125,149.81528768734057,223.00598534306917,234.2933085993971,-0.32512,RXA117  ,False,False,False,,9753.6,10149.84,1650256139.529,1650256139.826
1650256150,7c5856,-35.15126891055348,149.7956657409668,223.00598534306917,234.2933085993971,-0.65024,RXA117  ,False,False,False,,9753.6,10149.84,1650256149.318,1650256149.991
1650256160,7c5856,-35.16318628343487,149.77540969848633,222.70612906051664,234.40078004102384,0.32512,RXA117  ,False,False,False,,9753.6,10149.84,1650256159.573,1650256159.971
1650256170,7c5856,-35.1749267578125,149.7553673569037,222.70612906051664,234.40078004102384,0.0,RXA117  ,False,False,False,,9753.6,10149.84,1650256169.677,1650256169.964
1650256180,7c5856,-35.186370849609375,149.7359170719069,222.70612906051664,234.40078004102384,-0.32512,RXA117  ,False,False,False,,9753.6,10149.84,1650256179.51,1650256179.902
1650256190,7c5856,-35.19850158691406,149.71528968032527,222.70612906051664,234.40078004102384,0.0,RXA117  ,False,False,False,,9753.6,10149.84,1650256189.792,1650256189.922
1650256200,7c5856,-35.21001783467955,149.6956443786621,222.4070584506348,234.5085408961827,0.0,RXA117  ,False,False,False,,9753.6,10149.84,1650256199.786,1650256199.996
1650256210,7c5856,-35.22175598144531,149.67560437260843,221.98839800850288,234.4314516401545,0.0,RXA117  ,False,False,False,,9753.6,10142.22,1650256209.941,1650256209.954
1650256220,7c5856,-35.23310852050781,149.65621948242188,221.6895529410088,234.53960268383867,0.0,RXA117  ,False,False,False,,9745.98,10134.600000000002,1650256219.642,1650256219.845
1650256230,7c5856,-35.24502511751854,149.63583438954456,221.6895529410088,234.53960268383867,0.0,RXA117  ,False,False,False,,9753.6,10142.22,1650256229.994,1650256229.994
1650256240,7c5856,-35.25638386354609,149.61643300157914,221.3914998848092,234.64804531609812,-0.32512,RXA117  ,False,False,False,,9753.6,10142.22,1650256239.771,1650256239.949
1650256250,7c5856,-35.26764950509801,149.5970316136137,221.3914998848092,234.64804531609812,0.0,RXA117  ,False,False,False,,9745.98,10134.600000000002,1650256249.642,1650256249.907
1650256260,7c5856,-35.27914790783899,149.57722116023936,220.97211301026456,234.57086618009208,0.0,RXA117  ,False,False,False,,9745.98,10134.600000000002,1650256259.619,1650256259.866
1650256270,7c5856,-35.29064631057997,149.55746914478058,220.67429023685688,234.67970352627785,0.0,RXA117  ,False,False,False,,9753.6,10142.22,1650256269.515,1650256269.93
1650256280,7c5856,-35.30242402674787,149.53730806391292,220.97211301026456,234.57086618009208,0.0,RXA117  ,False,False,False,,9753.6,10142.22,1650256279.737,1650256279.937
1650256290,7c5856,-35.31415519067798,149.51720542096078,220.55312861180423,234.4933936689239,-0.32512,RXA117  ,False,False,False,,9753.6,10142.22,1650256289.93,1650256289.981
1650256300,7c5856,-35.325420832229895,149.49786247091092,220.55312861180423,234.4933936689239,0.0,RXA117  ,False,False,False,,9753.6,10142.22,1650256299.858,1650256299.985
1650256310,7c5856,-35.33683776855469,149.47832107543945,220.55312861180423,234.4933936689239,0.0,RXA117  ,False,False,False,,9753.6,10142.22,1650256309.659,1650256309.984
1650256320,7c5856,-35.34832763671875,149.45863723754883,220.55312861180423,234.4933936689239,0.0,RXA117  ,False,False,False,,9753.6,10134.6,1650256319.662,1650256319.981
1650256330,7c5856,-35.35963439941406,149.4392967224121,220.25473929923612,234.60233333732253,0.0,RXA117  ,False,False,False,,9753.6,10134.6,1650256329.661,1650256329.963
1650256340,7c5856,-35.371124267578125,149.41961288452148,220.25473929923612,234.60233333732253,0.0,RXA117  ,False,False,False,,9753.6,10142.22,1650256339.484,1650256339.967
1650256350,7c5856,-35.383026123046875,149.3990707397461,220.25473929923612,234.60233333732253,0.0,RXA117  ,False,False,False,,9753.6,10134.6,1650256349.854,1650256349.964
1650256360,7c5856,-35.39405822753906,149.3801307678223,219.95714840021037,234.71156818123904,0.0,RXA117  ,False,False,False,,9753.6,10134.6,1650256359.549,1650256359.863
1650256370,7c5856,-35.40558378575213,149.36018274185506,219.95714840021037,234.71156818123904,0.0,RXA117  ,False,False,False,,9753.6,10134.6,1650256369.64,1650256369.91
1650256380,7c5856,-35.41726839744439,149.34002166098736,219.95714840021037,234.71156818123904,0.0,RXA117  ,False,False,False,,9753.6,10134.6,1650256379.848,1650256379.981
1650256390,7c5856,-35.42867369570973,149.3202696455286,219.95714840021037,234.71156818123904,0.0,RXA117  ,False,False,False,,9753.6,10134.6,1650256389.737,1650256389.815
1650256400,7c5856,-35.44035830740205,149.30016700257647,220.25473929923612,234.60233333732253,-0.32512,RXA117  ,False,False,False,,9753.6,10134.6,1650256399.99,1650256399.99
1650256410,7c5856,-35.45127868652344,149.28142547607422,220.25473929923612,234.60233333732253,-0.32512,RXA117  ,False,False,False,,9745.98,10126.98,1650256409.49,1650256409.764
1650256420,7c5856,-35.46242406812769,149.262240795379,220.37726588765508,234.78883464895705,0.65024,RXA117  ,False,False,False,,9753.6,10134.6,1650256419.197,1650256419.789
1650256430,7c5856,-35.47444152832031,149.24142837524414,220.50212485819387,234.97512672045863,0.0,RXA117  ,False,False,False,,9753.6,10134.6,1650256429.688,1650256429.849
1650256440,7c5856,-35.48606872558594,149.22122955322266,220.79778262732296,234.86580694308435,0.0,RXA117  ,False,False,False,,9753.6,10134.6,1650256439.977,1650256439.977
1650256450,7c5856,-35.49715203753976,149.2019328665226,220.79778262732296,234.86580694308435,0.0,RXA117  ,False,False,False,,9753.6,10134.6,1650256449.67,1650256449.931
1650256460,7c5856,-35.50849914550781,149.18231964111328,221.09424204299145,234.75677993768124,0.0,RXA117  ,False,False,False,,9753.6,10134.6,1650256459.635,1650256459.94
1650256470,7c5856,-35.52021789550781,149.1620635986328,221.09424204299145,234.75677993768124,0.0,RXA117  ,False,False,False,,9753.6,10134.6,1650256469.845,1650256469.893
