time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1650313220,7c6c52,-33.978199069782875,151.19573593139648,89.5029073903054,167.721234629037,14.305280000000002,VOZ800  ,False,False,False,,152.4,175.26,1650313219.798,1650313219.798
1650313230,7c6c52,-33.985748291015625,151.1997331891741,93.12004829058586,143.76317912558713,10.72896,VOZ800  ,False,False,False,,266.7,297.18,1650313229.954,1650313229.954
1650313240,7c6c52,-33.99104748742059,151.2073516845703,94.76108751267306,120.32360686255,7.152640000000001,VOZ800  ,False,False,False,,365.76,396.24,1650313239.833,1650313239.93
1650313250,7c6c52,-33.99509753211072,151.2167930603027,101.0119669331775,115.65152846505258,6.1772800000000005,VOZ800  ,False,False,False,,426.72,464.8200000000001,1650313249.725,1650313249.963
1650313260,7c6c52,-33.9995665469412,151.22669219970703,108.6256759243806,122.03414614718994,3.5763200000000004,VOZ800  ,False,False,False,,480.06,518.16,1650313259.81,1650313259.894
1650313270,7c6c52,-34.00543212890625,151.23650375677616,115.86416448981798,129.4147020256571,8.77824,VOZ800  ,False,False,False,,541.02,586.74,1650313269.628,1650313269.924
1650313280,7c6c52,-34.01243591308594,151.24569639867667,122.22782381572208,135.34104227885885,6.827520000000001,VOZ800  ,False,False,False,,609.6,647.7,1650313279.501,1650313279.998
1650313290,7c6c52,-34.02159118652344,151.25511325135523,130.88531118491974,140.74228327780415,6.1772800000000005,VOZ800  ,False,False,False,,670.5600000000001,716.2800000000001,1650313289.839,1650313289.944
1650313300,7c6c52,-34.03065490722656,151.26424984056123,137.66448387220225,140.0025298852914,10.07872,VOZ800  ,False,False,False,,746.76,784.86,1650313299.561,1650313299.821
1650313310,7c6c52,-34.040160098318324,151.27378463745117,140.23294285074252,140.0598688462641,13.0048,VOZ800  ,False,False,False,,861.0600000000001,906.78,1650313309.524,1650313309.974
1650313320,7c6c52,-34.05007572497351,151.28368377685547,144.97557672964683,140.03823907333106,8.45312,VOZ800  ,False,False,False,,967.74,1013.46,1650313319.436,1650313319.881
1650313330,7c6c52,-34.060643082958165,151.29438400268555,151.56204752878403,140.09482747914157,6.502400000000001,VOZ800  ,False,False,False,,1036.3200000000002,1089.66,1650313329.901,1650313329.976
1650313340,7c6c52,-34.07111733646718,151.30491256713867,152.6174232853489,139.922418187136,17.881600000000002,VOZ800  ,False,False,False,,1173.48,1226.82,1650313339.63,1650313339.836
1650313350,7c6c52,-34.08174133300781,151.3157622668208,150.38140563138518,139.71760250456168,20.80768,VOZ800  ,False,False,False,,1363.98,1432.56,1650313349.878,1650313349.972
1650313360,7c6c52,-34.09199523925781,151.32618806800065,148.20630758429772,139.78699912095004,19.832320000000003,VOZ800  ,False,False,False,,1554.48,1623.06,1650313359.842,1650313359.938
1650313370,7c6c52,-34.10226078356726,151.33661270141602,147.48132416740535,139.81058619436567,14.955520000000002,VOZ800  ,False,False,False,,1737.36,1805.94,1650313369.979,1650313369.979
1650313380,7c6c52,-34.112274169921875,151.34670335419324,150.7742248691566,139.84400037508067,12.35456,VOZ800  ,False,False,False,,1851.66,1927.86,1650313379.79,1650313379.887
1650313390,7c6c52,-34.12266540527344,151.35724126076212,151.56204752878403,140.09482747914157,14.305280000000002,VOZ800  ,False,False,False,,1996.44,2080.26,1650313389.639,1650313389.984
1650313400,7c6c52,-34.13303181276484,151.36768341064453,154.52599607766845,140.26769712804423,11.05408,VOZ800  ,False,False,False,,2103.12,2179.32,1650313399.645,1650313399.948
1650313410,7c6c52,-34.1436767578125,151.37831707389986,155.64630533954593,140.36415776233005,15.280640000000002,VOZ800  ,False,False,False,,2240.28,2316.48,1650313409.494,1650313409.989
1650313420,7c6c52,-34.15594482421875,151.38846261160714,160.1499784415472,152.44718842328223,6.1772800000000005,VOZ800  ,False,False,False,,2346.96,2438.4,1650313419.87,1650313419.944
1650313430,7c6c52,-34.16990661621094,151.39350735411352,165.01387731504514,172.47617956136136,5.8521600000000005,VOZ800  ,False,False,False,,2407.92,2491.74,1650313430.0,1650313430.0
