time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1615785290,7c6d2a,-33.953887939453125,151.17798474370218,78.50961554215789,167.5119142310515,13.32992,VOZ858  ,False,False,False,,83.82000000000001,152.4,1615785289.311,1615785289.311
1615785300,7c6d2a,-33.961029052734375,151.17933000837053,79.08729504161983,174.4006606634794,9.7536,VOZ858  ,False,False,False,,198.12,281.94,1615785299.365,1615785299.514
1615785310,7c6d2a,-33.9678955078125,151.17910579759248,81.92752882973605,183.2397002961021,10.40384,VOZ858  ,False,False,False,,297.18,388.62,1615785309.113,1615785309.371
1615785320,7c6d2a,-33.97645568847656,151.1784892179528,90.20537531331188,183.59671707762843,4.55168,VOZ858  ,False,False,False,,373.38,464.82,1615785319.906,1615785319.956
1615785330,7c6d2a,-33.98533630371094,151.1777605329241,99.47942380855676,183.55785186611809,8.128,VOZ858  ,False,False,False,,434.34,525.78,1615785329.94,1615785329.94
1615785340,7c6d2a,-33.99486477092165,151.1769676208496,108.82162718558962,184.066318774806,3.5763200000000004,VOZ858  ,False,False,False,,495.3,586.74,1615785339.958,1615785339.958
1615785350,7c6d2a,-34.00492858886719,151.1761910574777,117.48373745897688,183.26333131823537,9.10336,VOZ858  ,False,False,False,,571.5,662.94,1615785349.91,1615785349.91
1615785360,7c6d2a,-34.01562706898835,151.17565155029297,125.56228105163504,181.40862873533845,8.77824,VOZ858  ,False,False,False,,662.94,762.0,1615785359.814,1615785359.814
1615785370,7c6d2a,-34.02726512844282,151.1762809753418,134.70379934813434,175.3999043337367,7.152640000000001,VOZ858  ,False,False,False,,731.52,822.96,1615785369.711,1615785369.712
1615785380,7c6d2a,-34.04025320279396,151.17914199829102,144.297644644339,167.64844084996983,7.477760000000001,VOZ858  ,False,False,False,,800.1,891.54,1615785379.92,1615785379.92
1615785390,7c6d2a,-34.05308532714844,151.18364606584822,147.48132416740535,163.5879022736216,17.231360000000002,VOZ858  ,False,False,False,,952.5,1021.08,1615785389.835,1615785389.835
1615785400,7c6d2a,-34.065531067929044,151.1879539489746,150.65833112658936,164.35021759919238,14.630400000000002,VOZ858  ,False,False,False,,1089.66,1173.48,1615785399.629,1615785399.731
1615785410,7c6d2a,-34.07842603780455,151.19224548339844,154.26545000270883,164.52702767184508,15.60576,VOZ858  ,False,False,False,,1234.44,1333.5,1615785409.104,1615785409.93
1615785420,7c6d2a,-34.09229860467428,151.1967658996582,154.6252992520156,164.76160022833614,20.80768,VOZ858  ,False,False,False,,1424.94,1524.0,1615785419.532,1615785419.829
1615785430,7c6d2a,-34.10579875364141,151.20111465454102,152.86692856026946,164.98163936884933,22.7584,VOZ858  ,False,False,False,4220.0,1645.92,1744.98,1615785429.779,1615785429.779
1615785440,7c6d2a,-34.11943855932202,151.2055778503418,151.87341847643697,164.88105639291473,19.182080000000003,VOZ858  ,False,False,False,4220.0,1859.28,1958.34,1615785439.944,1615785439.944
1615785450,7c6d2a,-34.132705947100135,151.20798110961914,147.39067495139767,176.5983093064663,23.73376,VOZ858  ,False,False,False,4220.0,2057.4,2164.08,1615785449.84,1615785449.93
1615785460,7c6d2a,-34.145135394597446,151.20620727539062,146.7040596118519,191.94039703541932,21.45792,VOZ858  ,False,False,False,4220.0,2247.9,2346.96,1615785459.022,1615785459.924
1615785470,7c6d2a,-34.15835623013771,151.19911193847656,148.83799354274058,210.99771964576783,18.20672,VOZ858  ,False,False,False,4220.0,2423.1600000000003,2537.4600000000005,1615785469.764,1615785469.963
1615785480,7c6d2a,-34.16871643066406,151.18807422871492,151.88300240197862,227.88296345253957,17.881600000000002,VOZ858  ,False,False,False,4220.0,2583.1800000000003,2705.1000000000004,1615785479.854,1615785479.997
1615785490,7c6d2a,-34.175952976032875,151.17450714111328,156.2436808858615,242.33810914236147,14.305280000000002,VOZ858  ,False,False,False,4220.0,2727.96,2857.5,1615785489.694,1615785489.985
1615785500,7c6d2a,-34.18226623535156,151.15859051139986,158.81245403513165,245.0952311919048,14.630400000000002,VOZ858  ,False,False,False,4220.0,2880.36,3017.52,1615785499.764,1615785499.931
1615785510,7c6d2a,-34.188382423530186,151.14263534545898,161.8308691857371,245.3902331135126,12.67968,VOZ858  ,False,False,False,4220.0,3002.28,3139.44,1615785509.898,1615785509.898
1615785520,7c6d2a,-34.1942138671875,151.12714494977678,163.9164223633595,245.52628118095527,14.630400000000002,VOZ858  ,False,False,False,4220.0,3147.06,3284.2200000000003,1615785519.512,1615785519.961
1615785530,7c6d2a,-34.200531005859375,151.11060940489477,167.3651663888976,245.4831684088295,11.3792,VOZ858  ,False,False,False,4220.0,3268.98,3421.38,1615785529.599,1615785529.942
1615785540,7c6d2a,-34.20681710970604,151.0939979553223,171.28204195890768,245.513319068284,12.02944,VOZ858  ,False,False,False,4220.0,3375.6600000000003,3528.0600000000004,1615785539.514,1615785539.78
1615785550,7c6d2a,-34.213165283203125,151.07708989357462,173.83716650329458,245.71040526117625,13.98016,VOZ858  ,False,False,False,4220.0,3512.82,3657.6,1615785549.47,1615785549.994
1615785560,7c6d2a,-34.22035217285156,151.05971355827486,176.13603961275956,241.1892062570269,13.98016,VOZ858  ,False,False,False,4220.0,3634.74,3802.38,1615785559.518,1615785559.809
1615785570,7c6d2a,-34.22934839280987,151.04284286499023,175.95639366645392,235.241278692134,17.881600000000002,VOZ858  ,False,False,False,4220.0,3802.38,3970.02,1615785569.941,1615785569.941
1615785580,7c6d2a,-34.238472631422155,151.0287094116211,176.2028902556956,230.68705337731504,16.581120000000002,VOZ858  ,False,False,False,4220.0,3954.78,4137.66,1615785579.572,1615785579.962
1615785590,7c6d2a,-34.24891662597656,151.01352613799426,176.85653967854088,230.42915890721716,17.55648,VOZ858  ,False,False,False,4220.0,4122.42,4312.92,1615785589.868,1615785589.939
1615785600,7c6d2a,-34.25889587402344,150.9989524374203,177.97755063113635,230.51249991587795,16.256,VOZ858  ,False,False,False,4220.0,4274.820000000001,4465.320000000001,1615785599.764,1615785599.934
