time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1645422430,7c2baf,-33.95804195080774,151.1788558959961,73.44847985022035,168.6900675259798,13.32992,VOZ862  ,False,False,False,3620.0,175.26000000000002,137.16000000000005,1645422429.518,1645422429.83
1645422440,7c2baf,-33.96479202529133,151.1801719665527,74.53581683206345,173.6598082540901,12.67968,VOZ862  ,False,False,False,3620.0,289.56,251.46,1645422439.834,1645422439.896
1645422450,7c2baf,-33.96995544433594,151.18005869339925,76.90034458989064,184.60448715698152,12.35456,VOZ862  ,False,False,False,3620.0,381.0,358.14,1645422447.67,1645422449.806
1645422460,7c2baf,-33.97874450683594,151.17910579759248,83.74541582739917,185.6405494321568,8.45312,VOZ862  ,False,False,False,3620.0,510.54,495.3,1645422459.661,1645422459.921
1645422470,7c2baf,-33.987137099443885,151.17816925048828,91.81492360106286,184.1771069689022,8.45312,VOZ862  ,False,False,False,3620.0,594.36,579.12,1645422469.971,1645422469.983
1645422480,7c2baf,-33.99593547239141,151.1773681640625,104.24316261666355,184.5288242369325,6.827520000000001,VOZ862  ,False,False,False,3620.0,655.32,647.7,1645422479.696,1645422479.948
1645422490,7c2baf,-34.005706787109375,151.17647132095027,112.48927129677554,184.4589955251457,14.955520000000002,VOZ862  ,False,False,False,3620.0,754.38,739.14,1645422489.361,1645422489.961
1645422500,7c2baf,-34.016558113744736,151.17547988891602,117.96931170061372,182.999655306496,16.256,VOZ862  ,False,False,False,3620.0,922.02,906.78,1645422499.636,1645422499.687
1645422510,7c2baf,-34.027637546345375,151.17605209350586,125.47583395738258,175.0607844578738,12.67968,VOZ862  ,False,False,False,3620.0,1043.94,1059.1799999999998,1645422509.795,1645422509.96
1645422520,7c2baf,-34.039368710275426,151.1785125732422,131.29614733125885,167.3250920222607,13.65504,VOZ862  ,False,False,False,3620.0,1203.96,1219.2,1645422519.914,1645422519.967
1645422530,7c2baf,-34.051006769729895,151.18240356445312,136.80728757086706,164.29136217098426,17.55648,VOZ862  ,False,False,False,3620.0,1341.12,1356.36,1645422529.686,1645422529.78
1645422540,7c2baf,-34.06320345603814,151.18640899658203,141.40567436189164,164.59862563627374,15.60576,VOZ862  ,False,False,False,3620.0,1508.76,1531.62,1645422539.945,1645422539.945
1645422550,7c2baf,-34.07558635129766,151.19064331054688,144.79291185091387,164.33422989028256,19.832320000000003,VOZ862  ,False,False,False,3620.0,1684.02,1714.5,1645422549.8,1645422549.986
1645422560,7c2baf,-34.088108903270665,151.19487762451172,146.2795076929912,164.49746120836838,22.43328,VOZ862  ,False,False,False,3620.0,1889.76,1927.86,1645422559.665,1645422559.915
1645422570,7c2baf,-34.10142284328657,151.19916915893555,146.91317339352975,164.35775354279127,21.78304,VOZ862  ,False,False,False,3620.0,2110.74,2164.0800000000004,1645422569.933,1645422569.976
1645422580,7c2baf,-34.11351013183594,151.20309635084502,147.5477050744177,164.21924669048462,22.10816,VOZ862  ,False,False,False,3620.0,2308.86,2362.2000000000003,1645422579.633,1645422579.887
1645422590,7c2baf,-34.12679381289723,151.20792388916016,148.53807722537022,164.3271794904568,20.482560000000003,VOZ862  ,False,False,False,3620.0,2522.2200000000003,2590.8,1645422589.831,1645422589.969
1645422600,7c2baf,-34.13978188724843,151.21204376220703,148.97662277006447,166.0117429358562,21.78304,VOZ862  ,False,False,False,3620.0,2720.34,2781.3,1645422599.721,1645422599.99
1645422610,7c2baf,-34.153188931739976,151.2131309509277,148.67787612346498,180.3965042551331,16.581120000000002,VOZ862  ,False,False,False,3620.0,2918.46,2987.04,1645422609.8,1645422609.875
1645422620,7c2baf,-34.16608390161548,151.2096405029297,148.46857405100056,196.29991071686428,13.98016,VOZ862  ,False,False,False,3620.0,3093.7200000000003,3169.92,1645422619.722,1645422619.994
1645422630,7c2baf,-34.17776851330774,151.20208740234375,149.03345899575302,211.87959684702275,13.65504,VOZ862  ,False,False,False,3620.0,3246.1200000000003,3329.9400000000005,1645422629.761,1645422629.783
1645422640,7c2baf,-34.18791690115205,151.19150161743164,149.66784284775463,222.3531744295714,17.231360000000002,VOZ862  ,False,False,False,3620.0,3413.76,3520.44,1645422639.593,1645422639.962
1645422650,7c2baf,-34.19825149794758,151.18051528930664,152.00840896882983,221.2953725579229,18.20672,VOZ862  ,False,False,False,3620.0,3589.02,3703.32,1645422649.833,1645422649.987
1645422660,7c2baf,-34.20970334845077,151.17101669311523,155.7576382084294,209.69793679330277,16.90624,VOZ862  ,False,False,False,3620.0,3764.28,3878.58,1645422659.777,1645422659.877
1645422670,7c2baf,-34.22231900489936,151.16363525390625,159.31824865713122,204.41333170502512,16.581120000000002,VOZ862  ,False,False,False,3620.0,3924.3,4053.84,1645422669.506,1645422669.824
1645422680,7c2baf,-34.23563294491527,151.15636825561523,160.9363048010727,204.35300917502963,17.55648,VOZ862  ,False,False,False,3620.0,4099.56,4213.860000000001,1645422679.638,1645422679.952
