time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1655108410,7c7c9c,,,82.63994854097189,167.78068707678065,5.52704,VOZ870  ,False,False,False,,,,,1655108409.731
1655108420,7c7c9c,-33.96195233878444,151.18005752563477,84.25738410711077,167.6609127216738,12.67968,VOZ870  ,False,False,False,,53.34,144.78,1655108419.817,1655108419.888
1655108430,7c7c9c,-33.96912138340838,151.1817741394043,84.32645784245408,171.22726270247057,11.70432,VOZ870  ,False,False,False,,175.26000000000002,266.70000000000005,1655108429.451,1655108429.95
1655108440,7c7c9c,-33.97718811035156,151.1818523796237,86.57956495413951,183.40644375499468,10.72896,VOZ870  ,False,False,False,,297.18,388.62,1655108439.781,1655108439.999
1655108450,7c7c9c,-33.985135353217686,151.18097305297852,93.98991839851593,185.0240752585396,4.8768,VOZ870  ,False,False,False,,373.38,464.82,1655108449.551,1655108449.717
1655108460,7c7c9c,-33.99430847167969,151.17966632453764,106.88185410375064,187.46707664026036,5.52704,VOZ870  ,False,False,False,,426.72,518.1600000000001,1655108459.572,1655108459.935
1655108470,7c7c9c,-34.005013158765905,151.17788314819336,118.3042249424264,187.49585763972985,11.70432,VOZ870  ,False,False,False,,495.3,571.5,1655108469.981,1655108469.981
1655108480,7c7c9c,-34.01548741227492,151.17639541625977,122.54678061998332,185.782392322364,13.65504,VOZ870  ,False,False,False,,640.08,731.52,1655108479.82,1655108479.907
1655108490,7c7c9c,-34.02679960606463,151.1762809753418,130.3006527879343,177.28444877676785,11.05408,VOZ870  ,False,False,False,,746.76,830.58,1655108489.692,1655108489.958
1655108500,7c7c9c,-34.03871697894601,151.17839813232422,135.3955623903252,168.60467894610713,15.60576,VOZ870  ,False,False,False,,883.9200000000001,967.74,1655108499.617,1655108499.949
1655108510,7c7c9c,-34.05091366525426,151.1825180053711,136.7395635814975,163.6104596659652,19.182080000000003,VOZ870  ,False,False,False,,1074.42,1135.38,1655108509.917,1655108509.917
1655108520,7c7c9c,-34.06259827694652,151.1865234375,141.8233565635969,163.99750817426653,10.07872,VOZ870  ,False,False,False,,1211.5800000000002,1295.4,1655108519.538,1655108519.861
1655108530,7c7c9c,-34.07549324682202,151.1909294128418,150.79791943485716,164.16199999863045,6.502400000000001,VOZ870  ,False,False,False,,1295.4,1379.22,1655108529.863,1655108529.958
1655108540,7c7c9c,-34.08927270921612,151.19556427001953,160.40839088946564,164.18080605249986,8.45312,VOZ870  ,False,False,False,,1356.36,1440.18,1655108539.85,1655108539.914
1655108550,7c7c9c,-34.10365735070184,151.2004852294922,163.80013291144692,163.9557331367964,16.90624,VOZ870  ,False,False,False,,1508.76,1584.96,1655108549.84,1655108549.987
1655108560,7c7c9c,-34.11739026085809,151.2051773071289,168.53439833464623,164.05460409907712,11.70432,VOZ870  ,False,False,False,,1630.68,1706.88,1655108559.454,1655108559.945
1655108570,7c7c9c,-34.13247318591101,151.2099838256836,173.44317527256828,166.62324717014857,12.02944,VOZ870  ,False,False,False,,1744.98,1821.18,1655108569.612,1655108569.82
1655108580,7c7c9c,-34.14811473781782,151.2114715576172,172.8723214822612,180.85255283973277,21.45792,VOZ870  ,False,False,False,,1905.0,1981.2,1655108579.52,1655108579.726
1655108590,7c7c9c,-34.16404724121094,151.20797293526786,170.96035331003628,194.99805306146405,24.384,VOZ870  ,False,False,False,,2148.84,2217.42,1655108589.953,1655108589.99
1655108600,7c7c9c,-34.177908170021226,151.2008285522461,169.8078263869325,207.41899007647865,18.85696,VOZ870  ,False,False,False,,2362.2000000000003,2446.0200000000004,1655108599.807,1655108599.87
1655108610,7c7c9c,-34.19004821777344,151.19020423110652,170.02043427190964,220.58249064846493,20.80768,VOZ870  ,False,False,False,,2552.7000000000003,2636.5200000000004,1655108609.569,1655108609.821
1655108620,7c7c9c,-34.20178946802173,151.17725372314453,170.05078512769367,222.42526478876204,18.20672,VOZ870  ,False,False,False,,2766.06,2842.26,1655108619.973,1655108619.979
1655108630,7c7c9c,-34.21270751953125,151.1652607820472,171.15761398290792,222.32002605989203,16.581120000000002,VOZ870  ,False,False,False,,2933.7000000000003,3017.5200000000004,1655108629.593,1655108629.654
1655108640,7c7c9c,-34.22447204589844,151.15242471500318,173.33785791283472,222.35375891934987,16.256,VOZ870  ,False,False,False,,3093.7200000000003,3177.5400000000004,1655108639.758,1655108639.909
1655108650,7c7c9c,-34.2359619140625,151.13981285873726,174.8262075138003,222.13759477388825,15.93088,VOZ870  ,False,False,False,,3261.36,3352.8,1655108649.744,1655108649.954
1655108660,7c7c9c,-34.247406005859375,151.12736916055485,177.38772123905022,222.0613177955333,13.0048,VOZ870  ,False,False,False,,3398.52,3482.34,1655108659.462,1655108659.733
1655108670,7c7c9c,-34.25960734739141,151.11413955688477,179.22301637411508,221.9749880924363,16.90624,VOZ870  ,False,False,False,,3550.92,3649.98,1655108669.596,1655108669.871
1655108680,7c7c9c,-34.27203369140625,151.10068807796557,180.3322519970964,221.8778695378843,15.60576,VOZ870  ,False,False,False,,3718.56,3810.000000000001,1655108679.918,1655108679.918
1655108690,7c7c9c,-34.28379821777344,151.08802016900512,181.4419994068176,221.7819387162058,16.90624,VOZ870  ,False,False,False,,3878.58,3977.64,1655108689.71,1655108689.992
1655108700,7c7c9c,-34.29615783691406,151.07473568040498,182.16839043209805,221.79478406898647,17.231360000000002,VOZ870  ,False,False,False,,4053.84,4152.900000000001,1655108699.652,1655108699.989
1655108710,7c7c9c,-34.30816133143537,151.06184005737305,182.16839043209805,221.79478406898647,16.90624,VOZ870  ,False,False,False,,4221.4800000000005,4320.540000000001,1655108709.598,1655108709.859
1655108720,7c7c9c,-34.32041931152344,151.04861512476086,183.27857199652885,221.70031760413397,13.0048,VOZ870  ,False,False,False,,4381.5,4488.18,1655108719.511,1655108719.875
1655108730,7c7c9c,-34.33297367419226,151.03506088256836,186.1839574637472,221.7518645505524,13.65504,VOZ870  ,False,False,False,,4503.42,4602.4800000000005,1655108729.605,1655108729.924
1655108740,7c7c9c,-34.34591519630561,151.02115631103516,187.63670539595788,221.77703939504764,13.0048,VOZ870  ,False,False,False,,4640.58,4739.64,1655108739.847,1655108740.0
1655108750,7c7c9c,-34.35859680175781,151.0074724469866,189.0894889963552,221.80182740519527,13.65504,VOZ870  ,False,False,False,,4777.740000000001,4884.420000000001,1655108749.867,1655108749.962
1655108760,7c7c9c,-34.37086486816406,150.994244011081,191.2687294968958,221.83830336814083,13.0048,VOZ870  ,False,False,False,,4899.66,5006.34,1655108759.479,1655108759.957
