time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1620634910,7c6d2b,-33.94398317498678,151.18703842163086,82.29335408744198,351.008752722934,15.280640000000002,VOZ874  ,False,False,False,,243.84,266.7,1620634909.984,1620634909.984
1620634920,7c6d2b,-33.936488264698085,151.18841171264648,84.8021573517592,16.566075898509723,15.93088,VOZ874  ,False,False,False,,373.38,365.7600000000001,1620634919.907,1620634919.907
1620634930,7c6d2b,-33.930855443922155,151.19441986083984,87.35556026096693,52.65770969371388,13.32992,VOZ874  ,False,False,False,,495.3,525.78,1620634929.997,1620634929.997
1620634940,7c6d2b,-33.92866516113281,151.20343266701212,90.0453363525265,83.76825439495988,10.40384,VOZ874  ,False,False,False,,601.98,632.46,1620634939.922,1620634939.922
1620634950,7c6d2b,-33.93062268273309,151.21273040771484,91.25981364368866,113.24100040931752,9.7536,VOZ874  ,False,False,False,,716.2800000000001,746.7600000000001,1620634949.545,1620634949.545
1620634960,7c6d2b,-33.93481238413665,151.2221717834473,97.59397250842648,118.3212112380088,7.152640000000001,VOZ874  ,False,False,False,,800.1,838.2,1620634959.992,1620634959.992
1620634970,7c6d2b,-33.939056396484375,151.23207559390943,107.44985316908534,115.8289574655203,6.827520000000001,VOZ874  ,False,False,False,,845.82,883.9200000000001,1620634969.754,1620634969.754
1620634980,7c6d2b,-33.94165556309588,151.24322891235352,111.97993668998396,98.9863108227836,13.32992,VOZ874  ,False,False,False,,944.88,990.6,1620634979.674,1620634979.735
1620634990,7c6d2b,-33.9414693541446,151.25547409057617,113.98969309849988,85.85911399648015,13.98016,VOZ874  ,False,False,False,,1082.04,1127.76,1620634989.74,1620634989.74
1620635000,7c6d2b,-33.94075012207031,151.26867800342794,122.10651014693676,86.86033985217973,7.80288,VOZ874  ,False,False,False,,1181.1,1219.2,1620634999.905,1620634999.905
1620635010,7c6d2b,-33.94024658203125,151.2824669662787,129.7633366123806,87.50058040347928,6.1772800000000005,VOZ874  ,False,False,False,,1242.0600000000002,1287.7800000000002,1620635009.987,1620635009.987
1620635020,7c6d2b,-33.939788818359375,151.29676040338012,135.9310582920184,87.61405596961119,3.2512000000000003,VOZ874  ,False,False,False,,1272.54,1325.88,1620635019.905,1620635019.905
1620635030,7c6d2b,-33.939234846729335,151.31155014038086,139.5509359157887,87.46457376553454,3.2512000000000003,VOZ874  ,False,False,False,,1303.02,1356.36,1620635029.71,1620635029.71
1620635040,7c6d2b,-33.93867621987556,151.3267707824707,142.1439586172691,87.30327883622935,3.2512000000000003,VOZ874  ,False,False,False,,1333.5,1379.22,1620635039.797,1620635039.797
1620635050,7c6d2b,-33.93804931640625,151.34205098054846,143.19666792721569,87.11703654746046,2.92608,VOZ874  ,False,False,False,,1363.98,1409.7,1620635049.712,1620635049.712
1620635060,7c6d2b,-33.93737275721662,151.35807037353516,144.25086816313447,86.9335144988741,2.92608,VOZ874  ,False,False,False,,1386.84,1440.18,1620635059.895,1620635059.895
1620635070,7c6d2b,-33.93662792141157,151.37334823608398,144.27930273369503,86.72951207681643,2.60096,VOZ874  ,False,False,False,,1417.3200000000002,1470.66,1620635069.732,1620635069.732
1620635080,7c6d2b,-33.93588308560646,151.38896942138672,144.82306742721616,86.53792694386492,2.60096,VOZ874  ,False,False,False,,1440.18,1493.52,1620635079.875,1620635079.875
1620635090,7c6d2b,-33.93513824980141,151.40464782714844,145.33657588243767,86.55017409575396,2.92608,VOZ874  ,False,False,False,,1470.66,1524.0,1620635089.553,1620635089.631
1620635100,7c6d2b,-33.93434143066406,151.42074896364795,149.4448751886725,86.64512126071266,8.45312,VOZ874  ,False,False,False,,1531.62,1584.96,1620635099.65,1620635099.65
1620635110,7c6d2b,-33.93360900878906,151.4373405612245,156.63531525187057,86.79929329898164,5.20192,VOZ874  ,False,False,False,,1600.2,1653.54,1620635109.853,1620635109.853
1620635120,7c6d2b,-33.93287658691406,151.4542124222736,162.7725529936274,87.10142320071829,13.32992,VOZ874  ,False,False,False,,1684.02,1737.36,1620635119.47,1620635119.894
1620635130,7c6d2b,-33.93215890658104,151.4717674255371,165.34153329354783,87.14649716342399,13.32992,VOZ874  ,False,False,False,,1813.56,1859.28,1620635129.449,1620635129.449
1620635140,7c6d2b,-33.93141174316406,151.49003009406889,168.42444019186215,87.1987708422501,12.67968,VOZ874  ,False,False,False,,1943.1,1981.2,1620635139.395,1620635139.395
1620635150,7c6d2b,-33.931640625,151.5074064293686,173.29357499145834,94.08561677997488,9.7536,VOZ874  ,False,False,False,,2049.78,2110.74,1620635148.695,1620635148.994
1620635160,7c6d2b,-33.93672102588721,151.52727127075195,176.8168799569857,114.40256607137697,9.10336,VOZ874  ,False,False,False,,2171.7000000000003,2232.6600000000003,1620635159.78,1620635159.836
1620635170,7c6d2b,-33.945286637645665,151.54129028320312,177.21755795332464,133.4709070006888,11.70432,VOZ874  ,False,False,False,,2293.62,2354.58,1620635168.849,1620635169.968
1620635180,7c6d2b,-33.95896911621094,151.55364990234375,176.54126109836488,148.9503428133774,12.35456,VOZ874  ,False,False,False,,2453.6400000000003,2514.6000000000004,1620635179.793,1620635179.936
1620635190,7c6d2b,-33.97377660719019,151.56063079833984,174.5413803231292,163.9154243416267,15.93088,VOZ874  ,False,False,False,,2621.28,2682.24,1620635189.873,1620635189.999
1620635200,7c6d2b,-33.98909229343224,151.5629768371582,171.42104704748914,177.93618027154304,19.182080000000003,VOZ874  ,False,False,False,,2819.4,2880.36,1620635199.993,1620635199.993
1620635210,7c6d2b,-34.00384935282045,151.5610313415527,168.28689147953077,191.10383343663605,18.85696,VOZ874  ,False,False,False,,3025.1400000000003,3093.7200000000003,1620635209.834,1620635209.993
1620635220,7c6d2b,-34.01820373535156,151.55510727240116,169.08311643217485,203.6792869336372,12.02944,VOZ874  ,False,False,False,,3185.1600000000003,3253.74,1620635219.613,1620635219.933
1620635230,7c6d2b,-34.03070999404133,151.54523849487305,169.121460025758,218.57815161648247,15.60576,VOZ874  ,False,False,False,,3337.56,3413.76,1620635229.527,1620635229.863
1620635240,7c6d2b,-34.040863037109375,151.53234987842794,167.39995112324664,229.1122288447185,20.15744,VOZ874  ,False,False,False,,3512.82,3581.4,1620635239.432,1620635239.466
1620635250,7c6d2b,-34.05084228515625,151.5183927574936,169.6300595496317,229.304468960508,16.256,VOZ874  ,False,False,False,,3680.46,3764.28,1620635249.625,1620635249.69
1620635260,7c6d2b,-34.06105041503906,151.50415537308675,170.35554981616053,229.28610324739984,19.182080000000003,VOZ874  ,False,False,False,,3863.34,3947.16,1620635259.642,1620635259.917
1620635270,7c6d2b,-34.07125699318061,151.49002075195312,171.75420025910353,229.00780454237236,17.881600000000002,VOZ874  ,False,False,False,,4046.22,4137.66,1620635269.71,1620635269.887
1620635280,7c6d2b,-34.081329345703125,151.47601692044006,173.59417118440288,229.08561677997488,16.90624,VOZ874  ,False,False,False,,4213.860000000001,4312.920000000001,1620635279.725,1620635279.818
1620635290,7c6d2b,-34.09181213378906,151.46138716717155,175.0984802336883,229.289153328819,19.182080000000003,VOZ874  ,False,False,False,,4396.74,4495.8,1620635289.861,1620635289.939
1620635300,7c6d2b,-34.10169982910156,151.44748609893176,176.60496126575154,229.4892199392748,17.55648,VOZ874  ,False,False,False,,4564.38,4655.820000000001,1620635299.411,1620635299.825
1620635310,7c6d2b,-34.112457275390625,151.4321837133291,178.5061377112942,229.79273076227307,17.881600000000002,VOZ874  ,False,False,False,,4747.26,4853.9400000000005,1620635309.939,1620635309.965
1620635320,7c6d2b,-34.12251100701803,151.4179229736328,179.95615845040325,229.75402346360264,17.55648,VOZ874  ,False,False,False,,4914.900000000001,5029.200000000001,1620635319.587,1620635319.881
1620635330,7c6d2b,-34.13301086425781,151.4029242067921,181.86159315019188,230.0491664675829,16.90624,VOZ874  ,False,False,False,,5082.54,5204.46,1620635329.551,1620635329.649
1620635340,7c6d2b,-34.143738827462926,151.3875389099121,184.7606127445352,229.96974072811028,14.630400000000002,VOZ874  ,False,False,False,,5227.320000000001,5349.240000000001,1620635339.701,1620635339.86
1620635350,7c6d2b,-34.15495791677705,151.37151718139648,186.93510411668925,229.911788172506,16.581120000000002,VOZ874  ,False,False,False,,5394.96,5509.26,1620635349.972,1620635349.972
1620635360,7c6d2b,-34.16538561804822,151.35658264160156,188.38486923482225,229.87389642220475,17.231360000000002,VOZ874  ,False,False,False,,5554.9800000000005,5684.52,1620635359.669,1620635359.909
1620635370,7c6d2b,-34.17623228945973,151.34113311767578,189.10978233594284,229.8551684172068,17.55648,VOZ874  ,False,False,False,7201.0,5722.62,5836.92,1620635369.446,1620635369.552
1620635380,7c6d2b,-34.18748474121094,151.32506701411037,190.5596684604341,229.81813987928103,15.93088,VOZ874  ,False,False,False,7201.0,5897.88,6035.04,1620635379.708,1620635379.951
1620635390,7c6d2b,-34.19871702032577,151.30903244018555,191.67785798001083,229.89909245378777,16.581120000000002,VOZ874  ,False,False,False,7201.0,6057.900000000001,6195.06,1620635389.845,1620635389.938
1620635400,7c6d2b,-34.21018981933594,151.29261250398596,192.7964256985881,229.9791058439983,15.93088,VOZ874  ,False,False,False,7201.0,6225.54,6362.7,1620635399.946,1620635399.946
1620635410,7c6d2b,-34.22106209447827,151.27704620361328,193.9153650714367,230.0581959930705,15.60576,VOZ874  ,False,False,False,7201.0,6370.320000000001,6515.1,1620635409.8,1620635409.959
1620635420,7c6d2b,-34.23234558105469,151.26071852080676,194.3100684037199,230.15558431740624,15.93088,VOZ874  ,False,False,False,7201.0,6530.34,6675.12,1620635419.874,1620635419.939
1620635430,7c6d2b,-34.24360656738281,151.24451929209184,195.36480802874016,230.0205717152297,15.60576,VOZ874  ,False,False,False,7201.0,6682.740000000001,6827.52,1620635429.861,1620635429.995
1620635440,7c6d2b,-34.25485901913402,151.22835159301758,197.5391275240364,229.96517059335784,12.35456,VOZ874  ,False,False,False,7201.0,6819.900000000001,6964.68,1620635439.828,1620635439.979
1620635450,7c6d2b,-34.266590183064125,151.2114715576172,199.38272598828252,230.02407525853957,11.70432,VOZ874  ,False,False,False,7201.0,6934.200000000001,7086.6,1620635449.992,1620635449.992
