time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1615195150,7c7aae,-33.93864440917969,151.17394894969706,79.62589425690084,347.310587863516,12.02944,VOZ888  ,False,False,False,,213.36,198.12,1615195149.941,1615195149.941
1615195160,7c7aae,-33.9320068359375,151.17209921077807,78.62246154076806,347.14588263101103,13.65504,VOZ888  ,False,False,False,,342.90000000000003,312.42,1615195159.547,1615195159.547
1615195170,7c7aae,-33.92587435447564,151.16827011108398,79.48617625325632,325.28139342893263,7.152640000000001,VOZ888  ,False,False,False,,457.2000000000001,449.58,1615195169.455,1615195169.455
1615195180,7c7aae,-33.9210794739804,151.16117477416992,85.75181222891888,303.49940007834755,6.1772800000000005,VOZ888  ,False,False,False,,510.54,510.54,1615195179.677,1615195179.737
1615195190,7c7aae,-33.91661045914992,151.1528778076172,89.32976029134228,302.77487732426425,6.502400000000001,VOZ888  ,False,False,False,,579.12,586.74,1615195189.824,1615195189.824
1615195200,7c7aae,-33.9120948920816,151.14446640014648,95.32634826748424,302.6609127216738,3.90144,VOZ888  ,False,False,False,,624.84,632.46,1615195199.894,1615195199.894
1615195210,7c7aae,-33.90724182128906,151.13538469587053,100.61293686426214,302.4711922908485,7.477760000000001,VOZ888  ,False,False,False,,685.8000000000001,693.4200000000001,1615195209.884,1615195209.884
1615195220,7c7aae,-33.90250513109112,151.1264991760254,105.19090466469125,302.21329855081325,5.8521600000000005,VOZ888  ,False,False,False,,746.76,754.38,1615195219.53,1615195219.53
1615195230,7c7aae,-33.89701196702862,151.11602783203125,110.0441291090804,302.2041289206624,9.7536,VOZ888  ,False,False,False,,822.96,838.2,1615195229.823,1615195229.823
1615195240,7c7aae,-33.891751564155186,151.10607147216797,111.7397947795601,302.59258147259925,11.70432,VOZ888  ,False,False,False,,937.26,960.12,1615195239.627,1615195239.71
1615195250,7c7aae,-33.886138916015625,151.09553123007015,117.30338506056869,302.6446401349165,4.55168,VOZ888  ,False,False,False,,1005.84,1036.32,1615195249.905,1615195249.905
1615195260,7c7aae,-33.88005065917969,151.08420858577807,124.16870868127748,302.3073344548821,5.52704,VOZ888  ,False,False,False,,1051.56,1082.04,1615195259.905,1615195259.905
1615195270,7c7aae,-33.87424792273572,151.07305526733398,129.89278044863875,302.05349048436307,5.52704,VOZ888  ,False,False,False,,1112.52,1135.38,1615195269.601,1615195269.601
1615195280,7c7aae,-33.86787026615468,151.0609245300293,135.0197456130185,302.23678655213024,9.10336,VOZ888  ,False,False,False,,1181.1,1211.5800000000002,1615195279.422,1615195279.422
1615195290,7c7aae,-33.86100769042969,151.04794249242667,137.14926526675987,302.43822579304043,12.02944,VOZ888  ,False,False,False,,1295.4,1310.64,1615195289.953,1615195289.953
1615195300,7c7aae,-33.85469598285226,151.03614807128906,138.2936088346567,302.38945799605887,12.67968,VOZ888  ,False,False,False,,1402.0800000000002,1440.18,1615195299.29,1615195299.29
1615195310,7c7aae,-33.84813211731995,151.02367401123047,139.87296239401954,302.22875743509854,12.67968,VOZ888  ,False,False,False,,1524.0,1569.72,1615195309.175,1615195309.916
1615195320,7c7aae,-33.84114928164723,151.01016998291016,140.1045520424555,301.1802382960549,13.0048,VOZ888  ,False,False,False,,1653.5400000000002,1714.5000000000002,1615195319.51,1615195319.608
1615195330,7c7aae,-33.835784912109375,150.99598164461096,139.6353028390946,290.037210169193,13.98016,VOZ888  ,False,False,False,,1790.7,1851.66,1615195329.956,1615195329.977
1615195340,7c7aae,-33.83328195345604,150.98115921020508,137.95542710030668,277.28402365441684,15.93088,VOZ888  ,False,False,False,,1943.1,2004.06,1615195339.935,1615195339.935
1615195350,7c7aae,-33.83262634277344,150.96717055963012,137.51926255183412,272.78748084203204,15.93088,VOZ888  ,False,False,False,,2087.88,2164.08,1615195349.311,1615195349.977
1615195360,7c7aae,-33.832071595272794,150.9518051147461,136.4062599151359,271.94514676141426,16.256,VOZ888  ,False,False,False,,2255.52,2339.34,1615195359.914,1615195359.949
